theorist,concept,native,one_liner,part,major,sub,era,source,confidence
Achille Mbembe,Necropolitics,Nécropolitique,Power's capacity to dictate who may live and who must die,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Contemporary,DB,high
Achille Mbembe,On the Postcolony,De la postcolonie,Analysis of African political subjectivity after colonialism,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Contemporary,DB,high
Achille Mbembe,Racial Sovereignty,,Sovereign power organized through racial hierarchy and exclusion,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Contemporary,DB,high
Achille Mbembe,Commandement,Commandement,Postcolonial regime of arbitrary command and intimate domination,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Contemporary,Knowledge,high
Achille Mbembe,Brutalism,Brutalisme,Contemporary extraction and devastation as a mode of governance,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Contemporary,Knowledge,med
Achille Mbembe,The Becoming-Black of the World,Le devenir-nègre du monde,Universalization of the condition once reserved for enslaved Blacks,Politics,"Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Contemporary,Knowledge,high
Ackbar Abbas,Culture of Disappearance,,Identity emerging precisely as it vanishes under historical pressure,Critics,Historical & Cultural Materialist,B. Cultural Studies,Contemporary,DB,high
Ackbar Abbas,Politics of Disappearance,,The political logic of appearing through vanishing in Hong Kong,Critics,Historical & Cultural Materialist,B. Cultural Studies,Contemporary,DB,high
Ackbar Abbas,Hong Kong Cinema,,Cinema as archive of a city living on borrowed time and space,Critics,Historical & Cultural Materialist,B. Cultural Studies,Contemporary,DB,high
Ackbar Abbas,Déjà Disparu,Déjà disparu,The already-disappeared: sensing loss before a thing is gone,Critics,Historical & Cultural Materialist,B. Cultural Studies,Contemporary,Knowledge,med
Adam Smith,The Invisible Hand,,Self-interested exchange unintentionally promotes collective benefit,Economics,Classical & Neoclassical Economics,Classical Political Economy,Classical,DB,high
Adam Smith,Division of Labour,,Splitting production into specialized tasks multiplies productivity,Economics,Classical & Neoclassical Economics,Classical Political Economy,Classical,DB,high
Adam Smith,The Wealth of Nations,,Foundational treatise on markets and the sources of national wealth,Economics,Classical & Neoclassical Economics,Classical Political Economy,Classical,DB,high
Adam Smith,Liberalism (Political Theory),,Natural-liberty system limiting state interference in commerce,Economics,Classical & Neoclassical Economics,Classical Political Economy,Classical,DB,high
Adam Smith,The Impartial Spectator,,Internal moral judge through which we sympathetically assess conduct,Economics,Classical & Neoclassical Economics,Classical Political Economy,Classical,Knowledge,high
Adam Smith,Sympathy (Moral Sentiments),,Fellow-feeling as the basis of moral judgment and social order,Economics,Classical & Neoclassical Economics,Classical Political Economy,Classical,Knowledge,high
Adam Tooze,Polycrisis,,Multiple interlocking crises compounding into systemic instability,Economics,"Welfare, Happiness & Heterodox Economics",Marxist & Heterodox Traditions,Contemporary,DB,high
Adam Tooze,Global Capitalism,,Tracing the integrated financial architecture of world economy,Economics,"Welfare, Happiness & Heterodox Economics",Marxist & Heterodox Traditions,Contemporary,DB,high
Adam Tooze,Financial Power Maps,,Mapping global liquidity flows and central-bank power networks,Economics,"Welfare, Happiness & Heterodox Economics",Marxist & Heterodox Traditions,Contemporary,DB,high
Adam Tooze,The Dollar System,,Global hegemony of dollar liquidity and Fed swap lines,Economics,"Welfare, Happiness & Heterodox Economics",Marxist & Heterodox Traditions,Contemporary,Knowledge,med
Adrienne Massanari,Toxic Technocultures,,Platform design that incubates misogynistic and harassing communities,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,DB,high
Adrienne Massanari,Reddit/Platform Politics,,How platform architecture and governance shape community behavior,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,DB,high
Adrienne Massanari,Participatory Culture,,User co-creation and circulation across networked media platforms,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,DB,high
Adrienne Massanari,Geek Masculinity,,Defensive male identity organized around technology and gatekeeping,Culture,"Digital, Media & Algorithmic Culture",A. Networked & Participatory Culture,Contemporary,Web,high
Aihwa Ong,Flexible Citizenship,,Strategic mobility of capital and identity across nation-state borders,Society,Advanced & Applied Social Theories,Globalization & Development,Contemporary,DB,high
Aihwa Ong,Graduated Sovereignty,,State power exercised unevenly across differentiated zones and populations,Society,Advanced & Applied Social Theories,Globalization & Development,Contemporary,Knowledge,high
Aihwa Ong,Neoliberalism as Exception,,Selective deployment of market logic to govern particular populations,Society,Advanced & Applied Social Theories,Globalization & Development,Contemporary,Knowledge,high
Aihwa Ong,Worlding,,Practices through which cities aspire to become global and modern,Society,Advanced & Applied Social Theories,Globalization & Development,Contemporary,Knowledge,med
Alain Badiou,The Event,L'événement,Rupture that breaks the situation and opens a new truth,Politics,Radical & Critical Traditions,D. Post-Structuralism & Postmodern Politics,Contemporary,DB,high
Alain Badiou,Fidelity to the Event,Fidélité,Sustained subjective commitment to the consequences of a truth,Politics,Radical & Critical Traditions,D. Post-Structuralism & Postmodern Politics,Contemporary,Knowledge,high
Alain Badiou,Truth Procedure,Procédure de vérité,"Generic process producing truth in art, science, love, politics",Politics,Radical & Critical Traditions,D. Post-Structuralism & Postmodern Politics,Contemporary,Knowledge,high
