OldTrueMajor,NewMajorNo,NewMajorName,NewSub,Action,Note
"I. Classical Sociological Traditions","I","Classical Sociological Traditions","",keep,"Foundational tradition (functionalism, conflict, authority). Backbone root kept."
"II. Contemporary Sociological Perspectives","II","Contemporary Sociological Perspectives","",keep,"Mid/late-20thC perspectives (communicative action, critical race, interpellation, simulacra)."
"III. Specific Social Phenomena Theories","III","Specific Social Phenomena Theories","",keep,"Meso-level phenomena (diffusion, resource mobilization, collective behavior, labeling)."
"IV. Contemporary Social Theories (Added)","IV","Contemporary Social Theories","Globalization & World-Systems",relabel,"Root cluster (world-systems, globalization, glocalization). Stripped '(Added)'; assigned Sub for clarity."
"IV. Contemporary Social Theories (Added) B. Power and Control","IV","Contemporary Social Theories","Power and Control",keep,"Governmentality, panopticism, biopower."
"IV. Contemporary Social Theories (Added) C. Social Constructionism","IV","Contemporary Social Theories","Social Constructionism",keep,"Social construction of reality, queer theory, standpoint theory."
"IV. Contemporary Social Theories (Added) D. Posthumanism & New Materialism","IV","Contemporary Social Theories","Posthumanism & New Materialism",keep,"Actor-Network Theory, assemblage theory. Anchors network/relational ontology."
"IV. Contemporary Social Theories (Added) E. Emotion and Affect","IV","Contemporary Social Theories","Emotion & Affect",keep,"Emotional labor, affect theory."
"IV. Contemporary Social Theories (Added) F. Cultural Sociology","IV","Contemporary Social Theories","Cultural Sociology (Bourdieu)",keep,"Cultural production, field theory, habitus."
"IV. Contemporary Social Theories (Added) G. Social Movements","IV","Contemporary Social Theories","Social Movements",keep,"Political process, framing, new social movement theory."
"V. Advanced & Applied Social Theories (Added) M. General Social Theories","V","Advanced & Applied Social Theories","General Social Theories",relabel,"Largest cluster (93). Stripped '(Added)'; dropped stray 'M.' letter; kept as general bucket."
"V. Advanced & Applied Social Theories (Added) A. Social Technology & Data","VI","Digital & Network Society","Social Technology & Data",remap,"PROMOTED to dedicated Major VI for contemporary digital/network theory. Algorithmic bias, digital divide."
"V. Advanced & Applied Social Theories (Added)  ::  A. Social Technology & Data","VI","Digital & Network Society","Social Technology & Data",merge,"Duplicate of the Social Technology & Data sub-school (orphan row with content '. A. Social Technology & Data'). Merged into Major VI."
"V. Advanced & Applied Social Theories (Added) E. Sociology of Science & Technology","VI","Digital & Network Society","Science & Technology Studies (STS)",remap,"Social Shaping of Technology, technoscience. Moved under Digital & Network Society Major VI."
"V. Advanced & Applied Social Theories (Added) B. Environmental Sociology","V","Advanced & Applied Social Theories","Environmental Sociology",keep,"Ecological modernization, treadmill of production, environmental justice."
"V. Advanced & Applied Social Theories (Added) C. Sociology of Health & Illness","V","Advanced & Applied Social Theories","Health & Illness",keep,"Social determinants of health, medicalization."
"V. Advanced & Applied Social Theories (Added) D. Sociology of Education","V","Advanced & Applied Social Theories","Education",keep,"Cultural reproduction, human capital theory."
"V. Advanced & Applied Social Theories (Added) F. Sociology of Work & Organizations","V","Advanced & Applied Social Theories","Work & Organizations",keep,"Flexible accumulation, McDonaldization, emotional dissonance."
"V. Advanced & Applied Social Theories (Added) G. Sociology of Culture & Media","V","Advanced & Applied Social Theories","Culture & Media",keep,"Agenda-setting, cultivation, uses and gratifications (mass-comm theory)."
"V. Advanced & Applied Social Theories (Added) H. Sociology of Gender & Sexuality","V","Advanced & Applied Social Theories","Gender & Sexuality",keep,"Doing gender, heteronormativity, cisnormativity."
"V. Advanced & Applied Social Theories (Added) I. Sociological Theories of Race & Ethnicity","V","Advanced & Applied Social Theories","Race & Ethnicity",relabel,"Racial formation, internal colonialism, segmented assimilation. Shortened verbose label."
"V. Advanced & Applied Social Theories (Added) J. Sociology of Religion","V","Advanced & Applied Social Theories","Religion",keep,"Secularization, rational choice theory of religion."
"V. Advanced & Applied Social Theories (Added) K. Sociology of Family","V","Advanced & Applied Social Theories","Family",keep,"Family systems, social exchange theory (family)."
"V. Advanced & Applied Social Theories (Added) L. Sociology of Globalization & Development","V","Advanced & Applied Social Theories","Globalization & Development",keep,"Dependency, neocolonialism, modernization theory."
