OldTrueMajor,NewMajorNo,NewMajorName,NewSub,Action,Note
"I. Jurisprudence",1,"Jurisprudence & Legal Philosophy","B. Legal Positivism & Analytic Jurisprudence",MERGE,"Positivism/Command/Rule of Recognition core"
"I. Jurisprudence (Philosophy of Law)",1,"Jurisprudence & Legal Philosophy","A. Natural Law & Normative Foundations",MERGE,"Natural Law Theory (Legal)"
"XL. Legal Philosophy (Post-Structuralist)",1,"Jurisprudence & Legal Philosophy","C. Post-Structuralist & Continental Legal Philosophy",MERGE,"Deconstruction (Legal)"
"LXIV. Legal History (Genealogy)",1,"Jurisprudence & Legal Philosophy","C. Post-Structuralist & Continental Legal Philosophy",MERGE,"Legal Genealogy Theory; high-num singleton"
"XXXVI. Legal Consciousness",1,"Jurisprudence & Legal Philosophy","C. Post-Structuralist & Continental Legal Philosophy",MERGE,"Legal Consciousness Theory"
"II. Critical Legal Theories",2,"Critical Legal Studies & Critical Race Theory","A. Critical Legal Studies (CLS) & Indeterminacy",MERGE,"CLS/Indeterminacy/Formalism critique; CRT also seeded here"
"XXIII. Critical Legal Race Theory (Advanced)",2,"Critical Legal Studies & Critical Race Theory","B. Critical Race Theory & Offshoots (LatCrit/AsianCrit/TribalCrit)",MERGE,"LatCrit/AsianCrit/TribalCrit"
"XXXIV. Critical Disability Legal Studies",2,"Critical Legal Studies & Critical Race Theory","C. Intersectional & Identity-Based Critique (Disability/Gender)",MERGE,"Anti-Ableism in Law; high-num singleton"
"LXXII. Law and Disability",2,"Critical Legal Studies & Critical Race Theory","C. Intersectional & Identity-Based Critique (Disability/Gender)",MERGE,"Disability Law Theory; high-num singleton"
"LV. Law and Gender Identity",2,"Critical Legal Studies & Critical Race Theory","C. Intersectional & Identity-Based Critique (Disability/Gender)",MERGE,"Transgender Legal Theory; high-num singleton"
"VII. Law and Economics",3,"Law and Economics","A. Foundational Law & Economics (Coase/Efficiency)",MERGE,"Coase Theorem/Public Choice"
"LXXIII. Law and Economics (Game Theory)",3,"Law and Economics","A. Foundational Law & Economics (Coase/Efficiency)",MERGE,"Game Theory in Law; high-num singleton"
"XXXIII. Law and Economics (Behavioral Insights)",3,"Law and Economics","B. Behavioral Law & Economics (Nudge/Bias)",MERGE,"Nudge Theory (Legal)"
"XXX. Law and Psychology (Cognitive)",3,"Law and Economics","B. Behavioral Law & Economics (Nudge/Bias)",MERGE,"Cognitive Biases in Law; behavioral overlap"
"XXV. Law and Political Economy (LPE)",3,"Law and Economics","C. Law & Political Economy (LPE) / Neoliberalism",MERGE,"LPE/Neoliberalism and Law"
"III. Law and Society Approaches",4,"Law and Society & Sociology of Law","A. Sociological Jurisprudence & Empirical Legal Studies",MERGE,"Sociological Jurisprudence/Empirical/Pluralism"
"VIII. Sociology of Law",4,"Law and Society & Sociology of Law","B. Social Control, Deviance & Legal Culture",MERGE,"Social Control/Deviance/Legal Culture"
"XXXI. Law and Sociology (Social Construction)",4,"Law and Society & Sociology of Law","B. Social Control, Deviance & Legal Culture",MERGE,"Social Construction of Law"
"LXXVI. Law and Culture",4,"Law and Society & Sociology of Law","B. Social Control, Deviance & Legal Culture",MERGE,"Law as Culture; high-num singleton"
"LXV. Law and Social Capital",4,"Law and Society & Sociology of Law","B. Social Control, Deviance & Legal Culture",MERGE,"Social Capital and Law; high-num singleton"
"LXXXV. Law and Social Norms",4,"Law and Society & Sociology of Law","B. Social Control, Deviance & Legal Culture",MERGE,"Social Norms and Law; high-num singleton"
"C. Law and Trust",4,"Law and Society & Sociology of Law","B. Social Control, Deviance & Legal Culture",MERGE,"Trust in Legal Systems; orphan singleton"
"XLIX. Legal Pluralism (Postcolonial)",4,"Law and Society & Sociology of Law","C. Legal Pluralism, Anthropology & Postcolonial Orders",MERGE,"Pluralistic Legal Orders (Postcolonial)"
"XXVI. Legal Anthropology",4,"Law and Society & Sociology of Law","C. Legal Pluralism, Anthropology & Postcolonial Orders",MERGE,"Customary Law/Dispute Resolution"
"IV. Constitutional Theory",5,"Constitutional Theory & Public Law","A. Constitutionalism, Judicial Review & Rights",MERGE,"Judicial Review/Rights/Deliberative Democracy"
