name,type,article,issue,context
Susan Stryker,theorist,"Orlando, Desire Lines: In Search of a t4t Documentary Practice",78.1,"Trans studies progenitor; cited for warning in Disclosure that representation is not a political endpoint, and for ""Performing Transgender Rage"""
Judith Butler,theorist,"Orlando, Desire Lines: In Search of a t4t Documentary Practice",78.1,"Cited from Who's Afraid of Gender? on ""gender ideology"" as a catchall phantasm of the contemporary Right"
Beans Velocci,theorist,"Orlando, Desire Lines: In Search of a t4t Documentary Practice",78.1,"Historian cited on Harry Benjamin's transsexual classifications and the medical establishment's fears shaping trans care standards"
T. Benjamin Singer,theorist,"Orlando, Desire Lines: In Search of a t4t Documentary Practice",78.1,"Cited as source of the ""medical gaze"" concept in trans medical photography"
Hil Malatino,theorist,"Orlando, Desire Lines: In Search of a t4t Documentary Practice",78.1,"Cited from Trans Care defining trans community-making as maintenance work fostering survival"
Paul B. Preciado,theorist,"Orlando, Desire Lines: In Search of a t4t Documentary Practice",78.1,"Filmmaker-theorist; analyzed via Testo Junkie, autotheory, and Can the Monster Speak?; director of Orlando"
Maggie Nelson,theorist,"Orlando, Desire Lines: In Search of a t4t Documentary Practice",78.1,"Cited with Preciado as popularizing autotheory via The Argonauts"
Lauren Fournier,theorist,"Orlando, Desire Lines: In Search of a t4t Documentary Practice",78.1,"Cited for definition of autotheory as feminist practice in art, writing and criticism"
Jean-Louis Baudry,theorist,"Orlando, Desire Lines: In Search of a t4t Documentary Practice",78.1,"Cinematic apparatus theory; Orlando described as resisting Baudry's dreamy captured viewer"
Bertolt Brecht,theorist,"Orlando, Desire Lines: In Search of a t4t Documentary Practice",78.1,"Brechtian defamiliarization / direct address cited as a technique disrupting identification with the image"
Toby Beauchamp,theorist,"Orlando, Desire Lines: In Search of a t4t Documentary Practice",78.1,"Cited from Going Stealth on the nondisclosure of transgender status (stealth)"
Cameron Awkward-Rich,theorist,"Orlando, Desire Lines: In Search of a t4t Documentary Practice",78.1,"Co-author cited (with Malatino) on t4t as overlapping forms of trans mutual aid and erotics"
t4t (trans-for-trans),concept,"Orlando, Desire Lines: In Search of a t4t Documentary Practice",78.1,"Central analytic framework: an erotics and community ethics prioritizing care for other trans people over cisgender assimilation"
trans care,concept,"Orlando, Desire Lines: In Search of a t4t Documentary Practice",78.1,"Malatino's concept of gender-aware emotional and material support and intracommunity survival work"
medical gaze,concept,"Orlando, Desire Lines: In Search of a t4t Documentary Practice",78.1,"Singer's term for clinical, depersonalizing ways of looking at gender-nonnormative bodies"
autotheory,concept,"Orlando, Desire Lines: In Search of a t4t Documentary Practice",78.1,"Genre of self-theorization moving between art, literature and academia, tied to Preciado and Nelson"
stealth,concept,"Orlando, Desire Lines: In Search of a t4t Documentary Practice",78.1,"Trans term for nondisclosure / assimilation into cisnormative roles, which the films resist"
gender ideology,concept,"Orlando, Desire Lines: In Search of a t4t Documentary Practice",78.1,"Butler's account of the Right's phantasm absorbing anxieties about precarity and loss of patriarchal/white power"
trans*,concept,"Orlando, Desire Lines: In Search of a t4t Documentary Practice",78.1,"Prepositional speculative element (over, across, beyond) referenced via trans cinema scholarship"
Felwine Sarr,theorist,Everything Begins in the Middle: Xala and Futurity,78.1,"Senegalese philosopher whose notion of African futurity frames the reading of Xala's final scene and female characters"
African futurity,concept,Everything Begins in the Middle: Xala and Futurity,78.1,"Analytic prism (drawn from Sarr and others) for reading Xala as pointing to the future of African cinemas"
postcolonial auteur,concept,Sembene behind and beyond the Iron Curtain,78.1,"Frame by which American publics celebrated Sembene, complicated by his Soviet/collectivist reception"
megotage,concept,"Sembene, Vieyra, and the Making of Xala",78.1,"Sembene's neologism (""gathering cigarette butts"") for making African films under scarce resources"
Hannah Arendt,theorist,Civil War's Unsentimental Imagination,78.1,"Placed in a lineage of white women intellectuals whose unsentimental reportage documented 20th-century atrocity, applied to Lee Smith"
Joan Didion,theorist,Civil War's Unsentimental Imagination,78.1,"Cited in the same lineage of unsentimental white women intellectual-reporters"
Deborah Nelson,theorist,Civil War's Unsentimental Imagination,78.1,"Literary theorist cited for the concept of the ""unsentimental"" as a method of facing everyday violence objectively"
unsentimentality,concept,Civil War's Unsentimental Imagination,78.1,"Nelson's methodology of objective observation applied to the photojournalist protagonist"
neoliberal self-reliance,concept,A Very Special Episode of Expats: Subverting Women's Prestige Television from Within,78.1,"Meritocracy and neoliberal self-reliance named as the ideology of women's prestige TV that the episode subverts"
Michel Foucault,theorist,Movies under the Influence: A Conversation with Jocelyn Szczepaniak-Gillece,78.1,"Foucauldian discourse analysis named as the method for ""reading for substances in exhibition history"""
Jocelyn Szczepaniak-Gillece,theorist,Movies under the Influence: A Conversation with Jocelyn Szczepaniak-Gillece,78.1,"Author/interviewee; theorizes films as ""psychoactive"" and spectatorship as a product of governance and profit"
Caetlin Benson-Allott,theorist,Movies under the Influence: A Conversation with Jocelyn Szczepaniak-Gillece,78.1,"Cited as precedent (The Stuff of Spectatorship) for studying objects and substances of spectatorship"
Timothy Leary,theorist,Movies under the Influence: A Conversation with Jocelyn Szczepaniak-Gillece,78.1,"Invoked for the idea that computers were the ""new acid,"" linking media and drugs"
Terence McKenna,theorist,Movies under the Influence: A Conversation with Jocelyn Szczepaniak-Gillece,78.1,"Cited for ideas about which kinds of media resemble which kinds of drugs"
