OldTrueMajor,NewMajorNo,NewMajorName,NewSub,Action,Note
"I. Evolutionary Biology",1,"Evolutionary Theory & Human Origins","B. Gene-Culture Coevolution & Human Origins",FOLD,"Out of Africa, DIT, gene-culture coevolution"
"I. Evolutionary Biology & Anthropology",1,"Evolutionary Theory & Human Origins","A. Selection & Adaptation",FOLD,"Natural/sexual/kin selection, reciprocal altruism"
"XCIV. Human Evolution (Diet)",1,"Evolutionary Theory & Human Origins","B. Gene-Culture Coevolution & Human Origins",MERGE,"Paleodiet hypothesis; singleton human-evolution"
"CXLVI. Evolutionary Genetics (Human Traits)",1,"Evolutionary Theory & Human Origins","B. Gene-Culture Coevolution & Human Origins",MERGE,"Recent human evolution; singleton"
"LXXXII. Human Biological Variation",1,"Evolutionary Theory & Human Origins","B. Gene-Culture Coevolution & Human Origins",MERGE,"Human genetic diversity; singleton"
"LXIV. Human Development (Biological)",1,"Evolutionary Theory & Human Origins","C. Life History & Demography",MERGE,"Life history theory (developmental); singleton"
"XXIV. Human Reproductive Biology",1,"Evolutionary Theory & Human Origins","C. Life History & Demography",MERGE,"Life history theory (human); singleton"
"XCVIII. Evolutionary Demography",1,"Evolutionary Theory & Human Origins","C. Life History & Demography",MERGE,"Senescence; singleton"
"CXXXVI. Evolutionary Developmental Biology (Evo-Devo)",1,"Evolutionary Theory & Human Origins","C. Life History & Demography",MERGE,"Developmental plasticity; singleton evo-devo"
"II. Evolutionary Psychology",2,"Evolutionary Psychology & Adaptive Mind","A. Adaptive Cognition & Modularity",FOLD,"EP general, massive modularity, EEA, sexual strategies"
"CXX. Evolutionary Psychology (Decision Making)",2,"Evolutionary Psychology & Adaptive Mind","A. Adaptive Cognition & Modularity",MERGE,"Bounded rationality; singleton"
"CXL. Evolutionary Psychology (Cognitive Biases)",2,"Evolutionary Psychology & Adaptive Mind","A. Adaptive Cognition & Modularity",MERGE,"Adaptive biases; singleton"
"CXXIII. Evolutionary Developmental Psychology",2,"Evolutionary Psychology & Adaptive Mind","A. Adaptive Cognition & Modularity",MERGE,"Evo-devo psychology; singleton"
"CII. Evolutionary Psychology (Gender Roles)",2,"Evolutionary Psychology & Adaptive Mind","B. Mating, Reproduction & Sexual Strategy",MERGE,"Division of labor; singleton"
"CXIV. Human Behavioral Ecology (Reproduction)",2,"Evolutionary Psychology & Adaptive Mind","B. Mating, Reproduction & Sexual Strategy",MERGE,"Optimal reproductive strategies; singleton"
"CXLIV. Human Reproductive Biology (Mating Systems)",2,"Evolutionary Psychology & Adaptive Mind","B. Mating, Reproduction & Sexual Strategy",MERGE,"Mating systems; singleton"
"XLIV. Human Socio-Sexual Systems",2,"Evolutionary Psychology & Adaptive Mind","B. Mating, Reproduction & Sexual Strategy",MERGE,"Pair bonding; singleton"
"CXXII. Human Reproductive Biology (Sexual Behavior)",2,"Evolutionary Psychology & Adaptive Mind","B. Mating, Reproduction & Sexual Strategy",MERGE,"Sexual plasticity; singleton"
"XLII. Human Reproductive Ecology",2,"Evolutionary Psychology & Adaptive Mind","B. Mating, Reproduction & Sexual Strategy",MERGE,"Demographic transition (bio); singleton"
"LXIX. Human Reproductive Ecology (Fertility)",2,"Evolutionary Psychology & Adaptive Mind","B. Mating, Reproduction & Sexual Strategy",MERGE,"Wealth flows theory; singleton"
"C. Biological Anthropology (Cooperation)",2,"Evolutionary Psychology & Adaptive Mind","C. Cooperation, Morality & Group Living",MERGE,"Costly signaling (bio); singleton"
"CXVI. Evolutionary Anthropology (Cooperation)",2,"Evolutionary Psychology & Adaptive Mind","C. Cooperation, Morality & Group Living",MERGE,"Group cooperation; singleton"
"CXXVIII. Evolutionary Psychology (Cooperation)",2,"Evolutionary Psychology & Adaptive Mind","C. Cooperation, Morality & Group Living",MERGE,"Indirect reciprocity; singleton"
"XXVI. Biological Basis of Cooperation",2,"Evolutionary Psychology & Adaptive Mind","C. Cooperation, Morality & Group Living",MERGE,"Prosociality; singleton"
"CIV. Behavioral Genetics (Social Behavior)",2,"Evolutionary Psychology & Adaptive Mind","C. Cooperation, Morality & Group Living",MERGE,"Genetics of prosocial behavior; singleton"
"LXIII. Evolutionary Perspectives on Group Conflict",2,"Evolutionary Psychology & Adaptive Mind","C. Cooperation, Morality & Group Living",MERGE,"In-group/out-group bias; singleton"
"LXXXV. Evolutionary Perspectives on Family",2,"Evolutionary Psychology & Adaptive Mind","C. Cooperation, Morality & Group Living",MERGE,"Alloparenting; singleton"
"XCI. Evolutionary Perspectives on Culture",2,"Evolutionary Psychology & Adaptive Mind","C. Cooperation, Morality & Group Living",MERGE,"Cultural group selection; singleton"
"LXXIX. Evolutionary Anthropology (Culture)",2,"Evolutionary Psychology & Adaptive Mind","C. Cooperation, Morality & Group Living",MERGE,"Costly signaling (culture); singleton"
"LIX. Evolutionary Basis of Morality",2,"Evolutionary Psychology & Adaptive Mind","C. Cooperation, Morality & Group Living",MERGE,"Moral foundations (evolutionary); singleton"
"LXXII. Evolutionary Ethics",2,"Evolutionary Psychology & Adaptive Mind","C. Cooperation, Morality & Group Living",MERGE,"Evolved morality; singleton"
"III. Neurobiology",3,"Neurobiology & Neuroscience","A. Neuroplasticity & Systems",FOLD,"Reward system, mirror neurons, polyvagal, social neuro"
"III. Neurobiology & Neuroscience",3,"Neurobiology & Neuroscience","A. Neuroplasticity & Systems",FOLD,"Neuroplasticity general; dedup variant of Neurobiology"
"XV. Developmental Neuroscience",3,"Neurobiology & Neuroscience","A. Neuroplasticity & Systems",MERGE,"Social brain hypothesis, critical periods"
"CI. Neurobiology of Memory (Types)",3,"Neurobiology & Neuroscience","B. Memory & Learning Neuroscience",MERGE,"Declarative vs non-declarative; singleton"
"CXLVIII. Neurobiology of Memory (Long-Term)",3,"Neurobiology & Neuroscience","B. Memory & Learning Neuroscience",MERGE,"Long-term memory formation; singleton"
"XLIX. Biological Basis of Memory",3,"Neurobiology & Neuroscience","B. Memory & Learning Neuroscience",MERGE,"LTP theory; singleton"
"CXV. Biological Basis of Memory (Emotional)",3,"Neurobiology & Neuroscience","B. Memory & Learning Neuroscience",MERGE,"Amygdala & emotional memory; singleton"
"XXVII. Biological Basis of Learning",3,"Neurobiology & Neuroscience","B. Memory & Learning Neuroscience",MERGE,"Hebbian theory; singleton"
"LXXX. Biological Basis of Learning (Memory)",3,"Neurobiology & Neuroscience","B. Memory & Learning Neuroscience",MERGE,"Consolidation theory; singleton"
"LXVIII. Biological Basis of Learning (Reward)",3,"Neurobiology & Neuroscience","B. Memory & Learning Neuroscience",MERGE,"Dopamine & learning; singleton"
"LXXXVII. Biological Basis of Learning (Classical Conditioning)",3,"Neurobiology & Neuroscience","B. Memory & Learning Neuroscience",MERGE,"LTD theory; singleton"
"CXLIII. Neurobiology of Learning (Fear)",3,"Neurobiology & Neuroscience","B. Memory & Learning Neuroscience",MERGE,"Fear conditioning; singleton"
"CXVII. Neurobiology of Social Learning (Imitation)",3,"Neurobiology & Neuroscience","B. Memory & Learning Neuroscience",MERGE,"Imitation & learning; singleton"
"L. Biological Basis of Social Learning",3,"Neurobiology & Neuroscience","B. Memory & Learning Neuroscience",MERGE,"Social contagion; singleton"
