theorist,concept,native,one_liner,part,major,sub,era,source,confidence
Richard Thaler,Nudge Theory,,Designing choice architecture to steer decisions without removing options,Economics,Behavioral & Cognitive Economics,A. Behavioral Asset Pricing & Markets,Contemporary,DB,high
Richard Thaler,Mental Accounting,,People sort money into separate non-fungible mental categories,Economics,Behavioral & Cognitive Economics,A. Behavioral Asset Pricing & Markets,Contemporary,DB,high
Richard Thaler,Endowment Effect,,People value what they own more than identical unowned goods,Economics,Behavioral & Cognitive Economics,A. Behavioral Asset Pricing & Markets,Contemporary,DB,high
Richard Thaler,Libertarian Paternalism,,Guiding choices for welfare while preserving freedom to choose,Economics,Behavioral & Cognitive Economics,A. Behavioral Asset Pricing & Markets,Contemporary,DB,high
Richard Thaler,Choice Architecture,,How the design of options shapes the decisions people make,Economics,Behavioral & Cognitive Economics,A. Behavioral Asset Pricing & Markets,Contemporary,DB,high
Richard Thaler,Sunk Cost Fallacy,,Continuing an endeavor because of past unrecoverable investment,Economics,Behavioral & Cognitive Economics,A. Behavioral Asset Pricing & Markets,Contemporary,DB,high
Richard Thaler,Self-Control Problems,,Conflict between present desires and long-term planning interests,Economics,Behavioral & Cognitive Economics,A. Behavioral Asset Pricing & Markets,Contemporary,DB,high
Richard Thaler,Quasi-Hyperbolic Discounting,,Present-biased preferences overweighting immediate over future rewards,Economics,Behavioral & Cognitive Economics,A. Behavioral Asset Pricing & Markets,Contemporary,Knowledge,high
Amos Tversky,Prospect Theory,,Decisions weigh gains and losses against a reference point,Psychology,Cognitive,C. Decision-Making & Heuristics,Modern,DB,high
Amos Tversky,Loss Aversion,,Losses loom psychologically larger than equivalent gains,Psychology,Cognitive,C. Decision-Making & Heuristics,Modern,DB,high
Amos Tversky,Availability Heuristic,,Judging probability by how easily examples come to mind,Psychology,Cognitive,C. Decision-Making & Heuristics,Modern,DB,high
Amos Tversky,Representativeness Heuristic,,Judging likelihood by similarity to a prototype,Psychology,Cognitive,C. Decision-Making & Heuristics,Modern,DB,high
Amos Tversky,Anchoring Bias,,Estimates are pulled toward an initial reference value,Psychology,Cognitive,C. Decision-Making & Heuristics,Modern,DB,high
Amos Tversky,Framing Effect,,Equivalent choices yield different decisions depending on wording,Psychology,Cognitive,C. Decision-Making & Heuristics,Modern,DB,high
Amos Tversky,Conjunction Fallacy,,Judging a conjunction more probable than its constituent,Psychology,Cognitive,C. Decision-Making & Heuristics,Modern,Knowledge,high
Émile Durkheim,Anomie,,Normlessness arising when social regulation breaks down,Society,Advanced & Applied Social Theories,General Social Theories,Classical,DB,high
