slug,qid,label,confidence,note
cannes-jury-prize,Q164200,Jury Prize,high,"Cannes Film Festival Jury Prize (Prix du Jury); instance of Cannes Film Festival Awards."
cannes-grand-prix,Q844804,Cannes Film Festival Grand Prix,high,"Grand Prix (Grand prix du jury), est. 1967; distinct from Palme d'Or (Q179808)."
cannes-best-director,Q510175,Cannes Best Director Award,high,"Prix de la mise en scene du Festival de Cannes."
cannes-best-screenplay,Q978420,Best Screenplay Award (Cannes Film Festival),high,"Prix du scenario, est. 1949."
cannes-best-actor,Q586140,Cannes Film Festival Award for Best Actor,high,"Prix d'interpretation masculine."
cannes-best-actress,Q840286,Cannes Film Festival Award for Best Actress,high,"Prix d'interpretation feminine."
venice-grand-jury-prize,Q944480,Grand Jury Prize of the Venice Film Festival,high,"Silver Lion - Grand Jury Prize."
venice-silver-lion-best-director,Q1337827,Silver Lion,high,"Silver Lion award for Best Director, part of Venice Film Festival Awards (inception 1953). Label is bare 'Silver Lion' but description confirms Best Director."
venice-volpi-cup-best-actor,Q2089923,Volpi Cup for Best Actor,high,"Coppa Volpi per la migliore interpretazione maschile."
venice-volpi-cup-best-actress,Q2089918,Volpi Cup for Best Actress,high,"Coppa Volpi per la migliore interpretazione femminile."
berlin-silver-bear-grand-jury-prize,Q664212,Silver Bear Grand Jury Prize,high,"Berlinale; distinct from the separate Silver Bear Jury Prize (Q105786956)."
berlin-silver-bear-best-director,Q706031,Silver Bear for Best Director,high,"Berlinale, est. 1956."
berlin-silver-bear-best-leading-performance,Q110961984,Silver Bear for Best Leading Performance,high,"Berlinale, introduced 2021 (replaced gendered Best Actor/Actress bears)."
sundance-grand-jury-prize,Q3774974,Sundance Film Festival U.S. Dramatic Grand Jury Prize Award,high,"U.S. Dramatic competition top prize (the standard 'Grand Jury Prize (Dramatic)'). World Cinema variant is Q969394."
saturn-best-film,Q1131772,Saturn Award for Best Science Fiction Film,high,"Per task mapping this slug is the Best Science Fiction Film category (Academy of SF/Fantasy/Horror Films)."
busan-new-currents-award,Q109300200,New Currents Award,high,"South Korea, est. 1996, conferred by Busan International Film Festival."
idfa-best-film,Q2488705,IDFA Award,medium,"VPRO Joris Ivens Award / IDFA main documentary competition award (Netherlands). Wikidata label is the generic 'IDFA Award' umbrella; no separate 'Best Feature-Length Documentary' node exists, so verify the node still represents the feature competition before backfilling."
annecy-cristal-feature,Q30327044,Annecy Cristal for a Feature Film,high,"Annecy International Animation Film Festival top feature prize; short-film variant is Q30327090."
cph-dox-dox-award,,,low,"No clean entity - cite source instead. Only the festival node (Copenhagen International Documentary Festival, Q5168483) and per-year ceremony items exist on Wikidata; there is no dedicated DOX:AWARD prize entity."
fespaco-etalon-yennenga,Q3591629,Stallion of Yennenga,high,"Etalon d'or de Yennenga, FESPACO (Ouagadougou) top prize, since 1972."
critics-choice-best-picture,Q922299,Broadcast Film Critics Association Award for Best Film,high,"Confirmed correct BFCA/Critics' Choice Best Picture node. Q1195678 was WRONG (astronomy). Q922299 verified as the film award."
