list_slug,facet,wikidata,method,note
cannes-palme-dor,award,Q179808,sparql_P166,
cannes-grand-prix,award,,NEEDS_QID (then P166) / published,
cannes-jury-prize,award,,NEEDS_QID (then P166) / published,
cannes-best-director,award,,NEEDS_QID (then P166) / published,
cannes-best-screenplay,award,,NEEDS_QID (then P166) / published,
cannes-best-actor,award,,NEEDS_QID (then P166) / published,
cannes-best-actress,award,,NEEDS_QID (then P166) / published,
cannes-camera-dor,award,Q775091,sparql_P166,
cannes-competition,section,,festival_selection (published/festival-edition; in-competition),
cannes-un-certain-regard,section,,festival_selection (published/festival-edition; in-competition),
cannes-directors-fortnight,section,,festival_selection (published/festival-edition; in-competition),
cannes-critics-week,section,,festival_selection (published/festival-edition; in-competition),
venice-golden-lion,award,Q209459,sparql_P166,
venice-grand-jury-prize,award,,NEEDS_QID (then P166) / published,
venice-silver-lion-best-director,award,,NEEDS_QID (then P166) / published,
venice-volpi-cup-best-actor,award,,NEEDS_QID (then P166) / published,
venice-volpi-cup-best-actress,award,,NEEDS_QID (then P166) / published,
venice-competition,section,,festival_selection (published/festival-edition; in-competition),
venice-orizzonti,section,,festival_selection (published/festival-edition; in-competition),
berlin-golden-bear,award,Q154590,sparql_P166,
berlin-silver-bear-grand-jury-prize,award,,NEEDS_QID (then P166) / published,
berlin-silver-bear-best-director,award,,NEEDS_QID (then P166) / published,
berlin-silver-bear-best-leading-performance,award,,NEEDS_QID (then P166) / published,
berlin-competition,section,,festival_selection (published/festival-edition; in-competition),
berlin-panorama,section,,festival_selection (published/festival-edition; in-competition),
berlin-encounters,section,,festival_selection (published/festival-edition; in-competition),
sundance-grand-jury-prize,award,,NEEDS_QID (then P166) / published,
toronto-peoples-choice,award,Q39087364,sparql_P166,
locarno-golden-leopard,award,Q1700510,sparql_P166,
rotterdam-tiger-award,award,Q2777961,sparql_P166,
san-sebastian-golden-shell,award,Q775086,sparql_P166,
karlovy-vary-crystal-globe,award,Q2565389,sparql_P166,
busan-new-currents-award,award,,NEEDS_QID (then P166) / published,
