name,type,article,issue,context
Pauline Kael,theorist,"Blissing Out (Again): Pauline Kael, Steven Spielberg",79.1,"central subject; her Romantic film criticism analyzed as a sensibility of subjectivity, emotion, intuition"
Steven Spielberg,theorist,"Blissing Out (Again): Pauline Kael, Steven Spielberg",79.1,"Spielberg's Romanticism used as a test case for Kael's own Romantic values (filmmaker as case study)"
Romanticism,concept,"Blissing Out (Again): Pauline Kael, Steven Spielberg",79.1,"late Romanticism as the analytic lens for Kael's criticism (values of innocence, transcendence)"
the bliss-out,concept,"Blissing Out (Again): Pauline Kael, Steven Spielberg",79.1,"Kael's own term for the ecstatic critical experience she sought in films"
ideological apparatus,concept,"Cinema and Pleasure: An Introduction",79.1,"1970s film theory framing of cinema's narrative language as ideological apparatus driving self-delusion/alienation"
pleasure (film theory of),concept,"Cinema and Pleasure: An Introduction",79.1,"pleasure named as the foundational, ambivalent concept of 1970s film studies the dossier revisits"
new cinephilia,concept,"The Expansive Pleasures of the New Cinephilia",79.1,"21st-century diverse internet-enabled cinephilia contrasted with auteur-aesthete Euro-American model"
cinephilia,concept,"The Expansive Pleasures of the New Cinephilia",79.1,"synchronic vs diachronic notions of cinephilic pleasure"
topo-cinephilia,concept,"Topo-Cinephilia: On the Pleasures of Place",79.1,"author's coined concept: cinephilic pleasure of place/location"
feminist film theory,concept,"On the Pleasures of Cinema and Daydreaming",79.1,"draws on feminist film theories of creative spectatorship to argue pleasure can be political"
creative spectatorship,concept,"On the Pleasures of Cinema and Daydreaming",79.1,"feminist-theory notion of the wandering, daydreaming spectator"
speculative historiography,concept,"On the Pleasures of Cinema and Daydreaming",79.1,"method of incomplete archives / speculative historiography for film history"
escapism,concept,"The Pleasure of the Interval: Escapism at the Cinema and at Home",79.1,"escapism reframed as temporal self-care rather than spatial flight (Twisters case study)"
madakarani,concept,"Soft Pleasures: Desiring Through Erotic Cinema",79.1,"1990s Malayalam soft-porn 'sex siren' figure as embodiment of screen pleasure and disciplinary norms"
discorrelation,concept,"Digital Dilapidation: Jean-Pierre Bekolo's Les Saignantes at 20",79.1,"named concept (Shane Denson) for digital video's disintegration; read as critical mimicry of neoliberal state"
critical mimicry,concept,"Digital Dilapidation: Jean-Pierre Bekolo's Les Saignantes at 20",79.1,"imperfect digital aesthetics as critical mimicry of entertainment media under neoliberalism"
remediation,concept,"Showgirl: The Deobjectification of Pamela Anderson",79.1,"Anderson's star image read through remediation of femininity and female-empowerment discourse"
deobjectification,concept,"Showgirl: The Deobjectification of Pamela Anderson",79.1,"the article's framing concept for Anderson's rebranding from pinup to legitimated actress"
bell hooks,theorist,"Mouths & Mirrors in Ryan Coogler's Sinners",79.2,"central frame; ""Eating the Other"" (Black Looks) - appropriation as eroticized ingestion of difference"
Carol A. Senf,theorist,"Mouths & Mirrors in Ryan Coogler's Sinners",79.2,"""Dracula: The Unseen Face in the Mirror"" - mirror motif and Good/Evil similarity in Dracula"
Julia Kristeva,theorist,"Mouths & Mirrors in Ryan Coogler's Sinners",79.2,"Powers of Horror; abjection as the threat of bodily/home boundary violation in horror"
Barbara Creed,theorist,"Mouths & Mirrors in Ryan Coogler's Sinners",79.2,"The Monstrous-Feminine; abjection separating human from nonhuman, applied to the vampire"
Stephen D. Arata,theorist,"Mouths & Mirrors in Ryan Coogler's Sinners",79.2,"""The Occidental Tourist"" - Dracula and the anxiety of reverse colonization"
Christopher Craft,theorist,"Mouths & Mirrors in Ryan Coogler's Sinners",79.2,"""Kiss Me with Those Red Lips"" - gender and inversion in Stoker's Dracula (cited)"
Linnie Blake,theorist,"Mouths & Mirrors in Ryan Coogler's Sinners",79.2,"cited on Get Out and the Female Gothic / mirror and sunken place"
Eric Lott,theorist,"Mouths & Mirrors in Ryan Coogler's Sinners",79.2,"Black Mirror; the mirror as liberal representation's co-option of Black culture"
Bram Stoker,theorist,"Mouths & Mirrors in Ryan Coogler's Sinners",79.2,"Dracula (1897) as the canonical vampire intertext Coogler reworks"
abjection,concept,"Mouths & Mirrors in Ryan Coogler's Sinners",79.2,"Kristeva/Creed's abjection organizing the besieged-house vampire horror reading"
the monstrous-feminine,concept,"Mouths & Mirrors in Ryan Coogler's Sinners",79.2,"Creed's framework underpinning the abjection analysis"
the male gaze,concept,"Mouths & Mirrors in Ryan Coogler's Sinners",79.2,"the ""white lens"" distorting women and minorities per white desire (Mulvey not named)"
reverse colonization,concept,"Mouths & Mirrors in Ryan Coogler's Sinners",79.2,"Arata's term; Dracula's fear of colonial contamination mapped onto vampiric appropriation"
the Female Gothic,concept,"Mouths & Mirrors in Ryan Coogler's Sinners",79.2,"via Blake, re: Get Out's mirror and the sunken place"
cultural appropriation,concept,"Mouths & Mirrors in Ryan Coogler's Sinners",79.2,"central theme; reframed as a practice that can be deployed ethically to reclaim cultural space"
mouth and mirror (tropes),concept,"Mouths & Mirrors in Ryan Coogler's Sinners",79.2,"article's own organizing tropes for race and desire in vampire/Black horror"
Gillo Pontecorvo,theorist,"""I Have Friends Everywhere"": Andor's Revolutionary Commitments",79.2,"Andor framed as a modern-day descendant of Pontecorvo's The Battle of Algiers (1966)"
The Battle of Algiers,concept,"""I Have Friends Everywhere"": Andor's Revolutionary Commitments",79.2,"central comparative intertext for depicting revolution and political commitment"
political commitment,concept,"""I Have Friends Everywhere"": Andor's Revolutionary Commitments",79.2,"Andor as a model of committed revolutionary media refusing partisan cliche"
G.W.F. Hegel,theorist,"Franchise Everything! / Bad Infinity",79.2,"""bad infinity"" (schlechte Unendlichkeit) - Hegelian concept framing endless macrofranchises"
