OldTrueMajor,NewMajorNo,NewMajorName,NewSub,Action,Note
I. Aesthetics & Philosophy of Art,1,Aesthetics & Philosophy of Art,A. Classical & Philosophical Aesthetics,keep,"Backbone anchor (mimesis, catharsis, sublime, disinterest)"
LI. Aesthetics (Evolutionary),1,Aesthetics & Philosophy of Art,C. Cognitive & Neuro Aesthetics,merge,Singleton high-number folded into backbone
LXII. Aesthetics (Sensory),1,Aesthetics & Philosophy of Art,C. Cognitive & Neuro Aesthetics,merge,Singleton high-number folded into backbone
LXXII. Aesthetics (Environmental),1,Aesthetics & Philosophy of Art,B. Everyday & Environmental Aesthetics,merge,Singleton high-number folded into backbone
LXXXIII. Aesthetics (Neuroscience),1,Aesthetics & Philosophy of Art,C. Cognitive & Neuro Aesthetics,merge,Singleton high-number folded into backbone
XXX. Aesthetics of the Everyday,1,Aesthetics & Philosophy of Art,B. Everyday & Environmental Aesthetics,reclassify,Variant of everyday aesthetics
XCIV. Aesthetics (Everyday - Advanced),1,Aesthetics & Philosophy of Art,B. Everyday & Environmental Aesthetics,dedup,Duplicate of everyday-aesthetics school (Advanced variant)
II. Art History,2,Art History & Historiography,A. Iconology & Social History of Art,keep,"Backbone anchor (iconology, social/cultural history of art)"
II. Art History & Historiography of Art,2,Art History & Historiography,A. Iconology & Social History of Art,dedup,Duplicate Roman-II label for same school
LII. Art History (Postcolonial),2,Art History & Historiography,C. Global & Postcolonial Art History,merge,Postcolonial curating; singleton high-number folded into backbone
LXXIII. Art History (Global),2,Art History & Historiography,C. Global & Postcolonial Art History,merge,Singleton high-number folded into backbone
LXXXIV. Art History (Gender),2,Art History & Historiography,B. Critical & Feminist Art Historiography,merge,Singleton high-number folded into backbone
XCV. Art History (Materiality),2,Art History & Historiography,B. Critical & Feminist Art Historiography,merge,Singleton high-number folded into backbone
XXXII. Digital Art History (Advanced),2,Art History & Historiography,C. Global & Postcolonial Art History,reclassify,Computational art history; method also relates to Digital Arts
III. Performance Studies,3,Performance Studies & Theatre,A. Performance Theory & Ritual,keep,"Backbone anchor (social performance, ritual, Brecht, oppressed)"
III. Performance Studies & Performing Arts,3,Performance Studies & Theatre,A. Performance Theory & Ritual,dedup,Duplicate Roman-III label for same school
LIII. Performance Studies (Politics),3,Performance Studies & Theatre,B. Performance & Politics,merge,Singleton high-number folded into backbone
LXXIV. Performance Studies (Everyday),3,Performance Studies & Theatre,C. Everyday & Restored Behavior,merge,Singleton high-number folded into backbone
LXXXV. Performance Studies (Ethics),3,Performance Studies & Theatre,B. Performance & Politics,merge,Singleton high-number folded into backbone
XCVI. Performance Studies (Restoration),3,Performance Studies & Theatre,C. Everyday & Restored Behavior,merge,Singleton high-number folded into backbone
XXVII. History of Performance Art,3,Performance Studies & Theatre,C. Everyday & Restored Behavior,reclassify,Performance art history into performance backbone
XV. Performance Art & Body,3,Performance Studies & Theatre,C. Everyday & Restored Behavior,reclassify,Body art / performance-as-research into performance backbone
IV. Music,4,Music & Sound Studies,A. Sociology & Politics of Music,keep,"Backbone anchor (subcultural, political economy, power, cognitive musicology)"
IV. Music & Society,4,Music & Sound Studies,A. Sociology & Politics of Music,dedup,Duplicate Roman-IV label for same school
LIV. Music (Therapy - Advanced),4,Music & Sound Studies,C. Music Therapy & Healing,merge,Singleton high-number folded into backbone
LX. Music (Digital),4,Music & Sound Studies,A. Sociology & Politics of Music,merge,"Digital musicology; method overlaps Digital Arts, kept in Music backbone"
LXX. Music (Politics of Sound),4,Music & Sound Studies,A. Sociology & Politics of Music,merge,Singleton high-number folded into backbone
LXXV. Music (Cultural Exchange),4,Music & Sound Studies,B. Ethnomusicology & Globalization,merge,Singleton high-number folded into backbone
LXXXI. Music (Therapeutic Use),4,Music & Sound Studies,C. Music Therapy & Healing,merge,Singleton high-number folded into backbone
LXXXVI. Music (Cultural Heritage),4,Music & Sound Studies,B. Ethnomusicology & Globalization,merge,Singleton high-number folded into backbone
XXV. Philosophy of Music,4,Music & Sound Studies,A. Sociology & Politics of Music,reclassify,Music & emotion into music backbone
XXVI. Sociology of Music,4,Music & Sound Studies,A. Sociology & Politics of Music,reclassify,Music & social class into music backbone
XXXIII. Music and Politics (Advanced),4,Music & Sound Studies,A. Sociology & Politics of Music,merge,Music as propaganda; Advanced variant folded in
XLIII. Music (Therapy),4,Music & Sound Studies,C. Music Therapy & Healing,reclassify,Core music therapy into therapy sub
XLIX. Music (Global),4,Music & Sound Studies,B. Ethnomusicology & Globalization,reclassify,Ethnomusicology into globalization sub
XCII. Music (Therapy - Social),4,Music & Sound Studies,C. Music Therapy & Healing,merge,Community music therapy folded in
XCVII. Music (Cognitive Development),4,Music & Sound Studies,A. Sociology & Politics of Music,merge,Musical development folded into music backbone
V. Literature,5,Literature & Literary Theory,A. Critical & Materialist Criticism,keep,"Backbone anchor (cultural materialism, feminist/queer/postcolonial criticism)"
V. Literature & Society (Literary Theory),5,Literature & Literary Theory,B. Historicism & Society,dedup,New Historicism; duplicate Roman-V label
VI. Sports,6,Sport & Physical Culture,A. Sociology & Politics of Sport,keep,"Backbone anchor (nationalism, commodification, body, ethics of enhancement)"
VI. Sports & Physical Culture,6,Sport & Physical Culture,A. Sociology & Politics of Sport,dedup,Sociology of Sport; duplicate Roman-VI label
XXIX. Sports (Body & Health),6,Sport & Physical Culture,"B. Body, Health & Sport Psychology",reclassify,"Biomechanics, sports psychology into body/health sub"
XXXIV. Sports (Gender & Race),6,Sport & Physical Culture,"C. Gender, Race & Identity in Sport",reclassify,Gender/race in sport into identity sub
L. Sports (Race & Ethnicity),6,Sport & Physical Culture,"C. Gender, Race & Identity in Sport",merge,Racial stacking folded in
LV. Sports (Media),6,Sport & Physical Culture,A. Sociology & Politics of Sport,merge,Media and sport folded in
LXI. Sports (Sociology of Race),6,Sport & Physical Culture,"C. Gender, Race & Identity in Sport",merge,Racialized bodies folded in
LXXI. Sports (Fan Behavior),6,Sport & Physical Culture,"B. Body, Health & Sport Psychology",merge,Sport-fan psychology folded in
LXXVI. Sports (Ethics of Competition),6,Sport & Physical Culture,A. Sociology & Politics of Sport,merge,Ethics of competition folded into sport ethics
LXXXII. Sports (Identity),6,Sport & Physical Culture,"C. Gender, Race & Identity in Sport",merge,Sport & identity folded in
LXXXVII. Sports (Global),6,Sport & Physical Culture,A. Sociology & Politics of Sport,merge,Global sport folded in
XCIII. Sports (Psychology of Performance),6,Sport & Physical Culture,"B. Body, Health & Sport Psychology",merge,Flow theory folded into sport psychology
XCVIII. Sports (Ethics of Fair Play),6,Sport & Physical Culture,A. Sociology & Politics of Sport,merge,Fair play folded into sport ethics
XLIV. Sports (Ethics),6,Sport & Physical Culture,A. Sociology & Politics of Sport,reclassify,Sports ethics into sociology/politics sub
VII. Cultural Studies of Art & Media (Applied),7,Visual Culture & Media Studies,A. Visual Culture & Spectacle,keep,"Backbone anchor (visual culture, spectacle, media ecology, digital art theory)"
XLII. Visual Culture (Advanced),7,Visual Culture & Media Studies,A. Visual Culture & Spectacle,merge,Spectatorship; Advanced variant folded into backbone
XVII. Photography,7,Visual Culture & Media Studies,B. Photography & the Image,reclassify,Photographic gaze into image sub
XVII. Photography & Society,7,Visual Culture & Media Studies,B. Photography & the Image,dedup,Theory of Photography; duplicate Roman-XVII label
LXIV. Photography (Ethics),7,Visual Culture & Media Studies,B. Photography & the Image,merge,Photographic ethics folded in
