idx,movie,year,real_name,basis,resolved_query,lat,lng,precision,confidence
0,Parasite,2019,Sky Pizza,address,"86 Noryangjin-ro 6-gil, Dongjak-gu, Seoul, South Korea",37.5128,126.9425,street,verified
1,Parasite,2019,Doijissal (Pig Rice) Supermarket,address,"32 Songijeong-ro, Mapo-gu, Seoul, South Korea",37.5506,126.9558,street,verified
2,Parasite,2019,Stairs & alleys of Ahyeon-dong / Changsin-dong,real_place,"Stairs & alleys of Ahyeon-dong / Changsin-dong, Seoul, South Korea",37.553,126.9555,area,verified
3,Parasite,2019,Park family mansion,address,"near Jeonju Film Studio Complex, Jeonju, South Korea",35.8662,127.1469,set,verified_set_not_real
4,La La Land,2016,Griffith Observatory,address,"2800 E Observatory Rd, Los Angeles, USA",34.1184,-118.3004,exact,verified
5,La La Land,2016,Colorado Street Bridge,address,"532 W Colorado Blvd, Pasadena, Pasadena, USA",34.1397,-118.1637,exact,verified
6,La La Land,2016,Angels Flight Railway,address,"351 S Hill St, Downtown Los Angeles, USA",34.051,-118.2495,exact,verified
7,La La Land,2016,Lighthouse Cafe,address,"30 Pier Ave, Hermosa Beach, Hermosa Beach, USA",33.8615,-118.4011,exact,verified
8,Mad Max: Fury Road,2015,Namib Desert near Swakopmund,real_place,"Namib Desert near Swakopmund, Swakopmund, Namibia",-22.68,14.95,region,verified
9,Mad Max: Fury Road,2015,Salt plains near Walvis Bay,real_place,"Salt plains near Walvis Bay, Walvis Bay, Namibia",-22.99,14.5,area,verified
10,Mad Max: Fury Road,2015,Dorob National Park,real_place,"Dorob National Park, Erongo Region, Namibia",-22.55,14.55,region,verified
11,Skyfall,2012,"Glencoe (A82, Buachaille Etive Mor)",address,"A82, Glencoe, Glencoe, Scotland, UK",56.6431,-4.9036,exact,verified
12,Skyfall,2012,Skyfall Lodge,address,"Hankley Common, Elstead, Surrey, England, UK",51.168,-0.683,area,verified_set_not_real
13,Skyfall,2012,Grand Bazaar & Eminonu Square,address,"Eminonu, Fatih, Istanbul, Turkey",41.0108,28.968,exact,verified
14,Skyfall,2012,Old Vic Tunnels (Waterloo),address,"beneath Waterloo Station, London, England, UK",51.501,-0.113,area,verified
15,Inception,2010,Pont de Bir-Hakeim,real_place,"Pont de Bir-Hakeim, Paris, France",48.8556,2.2879,exact,verified
16,Inception,2010,Fortress Mountain ski resort,address,"Kananaskis, Alberta, Canada",50.83,-115.2,area,verified
17,Inception,2010,Cardington hangars,address,"Cardington, Bedfordshire, England, UK",52.1043,-0.4189,exact,verified_set_not_real
18,Inception,2010,John Ferraro Building (LADWP),address,"111 N Hope St, Los Angeles, USA",34.0588,-118.249,exact,verified
19,The Dark Knight,2008,Chicago Main Post Office,address,"404 W Harrison St, Chicago, USA",41.8744,-87.639,exact,verified
20,The Dark Knight,2008,Richard J Daley Center,address,"Washington St, Chicago, USA",41.884,-87.63,exact,verified
21,The Dark Knight,2008,IBM Building (AMA Plaza),address,"330 N Wabash Ave, Chicago, USA",41.8888,-87.627,exact,verified
22,The Dark Knight,2008,Willis (Sears) Tower,address,"233 S Wacker Dr, Chicago, USA",41.8789,-87.6359,exact,verified
