OldTrueMajor,NewMajorNo,NewMajorName,NewSub,Action,Note
"I. Formalist & Text-Centric Approaches",I,Formalist & Text-Centric,A. Formalism & New Criticism,keep,"Canonical anchor for formalism/structuralism"
"L. Structuralism (Advanced)",I,Formalist & Text-Centric,B. Structuralism & Semiotics,merge,"High-number variant folded into Formalist backbone"
"XC. Structuralism (Narrative)",I,Formalist & Text-Centric,B. Structuralism & Semiotics,merge,"Proppian/structural narrative folded in"
"XXVIII. Philology & Textual Criticism",I,Formalist & Text-Centric,C. Stylistics & Textual Criticism,merge,"Textual criticism folded into Formalist"
"CIV. Stylistics (Literary)",I,Formalist & Text-Centric,C. Stylistics & Textual Criticism,merge,"Stylistics singleton folded in"
"CXXXI. Stylistics (Applied Linguistics)",I,Formalist & Text-Centric,C. Stylistics & Textual Criticism,merge,"Corpus stylistics folded in"
"CXIII. New Formalism (Literary)",I,Formalist & Text-Centric,C. Stylistics & Textual Criticism,merge,"New Formalism singleton folded in"
"CXLIX. New Formalism (Poetry)",I,Formalist & Text-Centric,C. Stylistics & Textual Criticism,merge,"New Formalism (Poetry) folded in; near-twin of CXIII"
"CIII. Speech Act Theory (Literary)",I,Formalist & Text-Centric,C. Stylistics & Textual Criticism,merge,"Speech act / linguistic poetics folded in"
"II. Post-Structuralist",II,Post-Structuralist & Deconstructive,A. Deconstruction,keep,"Canonical anchor for post-structuralism"
"II. Post-Structuralist & Deconstructive Approaches",II,Post-Structuralist & Deconstructive,A. Deconstruction,dedup,"Twin label of canonical II; same canonical"
"XXIX. Deconstruction (Advanced)",II,Post-Structuralist & Deconstructive,A. Deconstruction,merge,"Aporia folded into Deconstruction"
"LXXIV. Deconstruction (Key Concepts)",II,Post-Structuralist & Deconstructive,A. Deconstruction,merge,"Logocentrism folded into Deconstruction"
"XXX. Post-Structuralism (Advanced)",II,Post-Structuralist & Deconstructive,A. Deconstruction,merge,"Trace folded into Deconstruction"
"LXII. Post-Structuralism (Specific Figures)",II,Post-Structuralist & Deconstructive,B. Discourse & Genealogy,merge,"Foucaultian criticism folded in"
"XCIV. Post-Structuralism (Genealogy)",II,Post-Structuralist & Deconstructive,B. Discourse & Genealogy,merge,"Genealogical criticism folded in"
"CI. Author Function Theory",II,Post-Structuralist & Deconstructive,B. Discourse & Genealogy,merge,"Author function (Foucault) folded in"
"III. Identity-Based",III,Identity-Based & Political,A. Feminist & Gender Criticism,keep,"Canonical anchor for identity-based criticism"
"III. Identity-Based & Political Approaches",III,Identity-Based & Political,A. Feminist & Gender Criticism,dedup,"Twin label of canonical III; same canonical"
"LII. Feminism (Advanced)",III,Identity-Based & Political,A. Feminist & Gender Criticism,merge,"Materialist feminism folded in"
"LXVII. Gender Studies (Materialist)",III,Identity-Based & Political,A. Feminist & Gender Criticism,merge,"Sex/Gender System folded in"
"LXXV. Feminist Criticism (Intersectional)",III,Identity-Based & Political,A. Feminist & Gender Criticism,merge,"Black feminism folded in"
"LXXXVII. Feminism (Beyond Binary)",III,Identity-Based & Political,A. Feminist & Gender Criticism,merge,"Posthuman feminism folded in"
"CXXXII. Feminist Poetics",III,Identity-Based & Political,A. Feminist & Gender Criticism,merge,"Feminist poetics singleton folded in"
"CXV. Feminist Narratology",III,Identity-Based & Political,A. Feminist & Gender Criticism,merge,"Feminist narratology folded in"
"XXXVIII. Gender Studies (Specific to Literature)",III,Identity-Based & Political,B. Queer Theory,merge,"Queer readings folded into Queer Theory"
"LIII. Queer Theory (Advanced)",III,Identity-Based & Political,B. Queer Theory,merge,"Queer temporalities folded in"
"LXVIII. Queer Theory (Beyond Sexuality)",III,Identity-Based & Political,B. Queer Theory,merge,"Affective queer theory folded in"
"CXI. Queer Theory (Historical)",III,Identity-Based & Political,B. Queer Theory,merge,"History of sexuality folded in"
"CXXXIII. Queer Theory (Performance)",III,Identity-Based & Political,B. Queer Theory,merge,"Performativity of text folded in"
"LIV. Postcolonial (Advanced)",III,Identity-Based & Political,C. Postcolonial & Critical Race,merge,"Hybridity (Bhabha) folded in"
"XXXIV. Postcolonial Criticism (Specifics)",III,Identity-Based & Political,C. Postcolonial & Critical Race,merge,"Hybridity folded in"
"LXIX. Postcolonial (Beyond Literature)",III,Identity-Based & Political,C. Postcolonial & Critical Race,merge,"Subalternity (Criticism) folded in"
"LXIX. Postcolonial (Beyond Oppression)",III,Identity-Based & Political,C. Postcolonial & Critical Race,merge,"Subalternity (Literary); twin of LXIX above, same canonical"
"LXXXVIII. Postcolonial (Beyond Oppression)",III,Identity-Based & Political,C. Postcolonial & Critical Race,merge,"Creolization folded in"
"CXX. Global South Literary Theory",III,Identity-Based & Political,C. Postcolonial & Critical Race,merge,"Global South theory singleton folded in"
"CXXXIV. Postcolonial Theory (Translation)",III,Identity-Based & Political,C. Postcolonial & Critical Race,merge,"Translation studies folded in"
"CXVII. Critical Race Theory (Narrative)",III,Identity-Based & Political,C. Postcolonial & Critical Race,merge,"Counter-narratives folded in"
"LXXIII. Critical Race Theory (Specific)",III,Identity-Based & Political,C. Postcolonial & Critical Race,merge,"Microaggressions folded in"
"XXXIII. Critical Race Theory (Specifics)",III,Identity-Based & Political,C. Postcolonial & Critical Race,merge,"Whiteness studies folded in"
"LXXXIV. Critical Disability Studies (Deep Dive)",III,Identity-Based & Political,D. Disability Studies,merge,"Cripping theory folded into Disability"
"XCVIII. Critical Disability Studies (Intersectionality)",III,Identity-Based & Political,D. Disability Studies,merge,"Intersectionality (disability) folded in"
"CXXIII. Disability Poetics",III,Identity-Based & Political,D. Disability Studies,merge,"Crip poetics folded in"
