No,Country (EN),Country (KR),Service Name (EN),Service Name (Native),URL,Type,Content Focus,Status,Category,In Original List,Notes
1,Global / Multi-country,글로벌(다국가),Netflix,Netflix,https://www.netflix.com,SVOD,"General; per-territory local & national-cinema catalogs, local-language originals",Active,Global Major,Added,Catalog differs sharply by country.
2,Global / Multi-country,글로벌(다국가),Amazon Prime Video,Amazon Prime Video,https://www.primevideo.com,SVOD + TVOD,"General + region-specific titles, local originals; rent/buy store",Active,Global Major,Added,In ~240 countries; TVOD rent/buy store only in ~13 markets.
3,Global / Multi-country,글로벌(다국가),Apple TV,Apple TV,https://tv.apple.com,SVOD + TVOD,Originals-led; iTunes-style movie rent/buy in-app,"Rebranded (Apple TV+→Apple TV, 2025)",Global Major,Added,Renamed from 'Apple TV+' to 'Apple TV' Nov 2025. TVOD store in app.
4,Global / Multi-country,글로벌(다국가),Disney+,Disney+,https://www.disneyplus.com,SVOD,Disney/Pixar/Marvel/Star + per-territory local catalogs,Active,Global Major,Added,India: folded into JioHotstar (2025). ID/MY/TH 'Disney+ Hotstar'→'Disney+' (Oct 2025).
5,Global / Multi-country,글로벌(다국가),Google TV,Google TV,https://tv.google.com,TVOD,Movie/TV rent & buy storefront; aggregates subscriptions,"Rebranded (from Google Play Movies, 2024)",Global Major,Added,Google Play Movies & TV discontinued Jan 2024; rent/buy now via Google TV app + YouTube.
6,Global / Multi-country,글로벌(다국가),YouTube (Movies & TV),YouTube,https://www.youtube.com/feed/storefront,TVOD + AVOD,Movie/TV rent & buy library; some free ad-supported films,Active,Global Major,Added,Canonical web entry for purchased/rented movies after Play Movies sunset.
7,Global / Multi-country,글로벌(다국가),HBO Max,HBO Max,https://www.hbomax.com,SVOD,HBO/WB premium + per-territory local content,"Rebranded (Max→HBO Max, Jul 2025)",Global Major,Added,Reverted from 'Max' to 'HBO Max' on 9 Jul 2025. Expanding globally.
8,Global / Multi-country,글로벌(다국가),Paramount+,Paramount+,https://www.paramountplus.com,SVOD,Paramount/CBS/Showtime + some local content,Active,Global Major,Added,Japan service ceasing 31 Mar 2026.
9,Global / Multi-country,글로벌(다국가),Peacock,Peacock,https://www.peacocktv.com,SVOD + AVOD,NBCUniversal; US-centric,Active,Global Major,Added,US-focused; abroad mostly via partners. Optional.
10,United States,미국,Fandango at Home (formerly Vudu),Fandango at Home,https://www.fandangoathome.com,TVOD,General studio films & TV (rent/buy),"Rebranded (Vudu→Fandango at Home, Mar 2024)",Commercial OTT,Original,"vudu.com redirects. General store, not arthouse-focused."
11,United States,미국,The Criterion Channel,The Criterion Channel,https://www.criterionchannel.com,SVOD,"Arthouse, classic & world cinema",Active,Arthouse / Curated,Original,~$10.99/mo. Geo-restricted to US & Canada.
12,United States,미국,Kanopy,Kanopy,https://www.kanopy.com,Free (library),"Arthouse, indie, world, documentary",Active,Library / Educational,Added,"Free via public-library/university card. 30,000+ films."
13,United States,미국,Library of Congress – National Screening Room,National Screening Room,https://www.loc.gov/collections/national-screening-room/,Free (public/gov),"550+ historic US films 1890–1999, newsreels, public domain",Active,National Film Archive / Cinematheque,Added,Free stream + download. World's largest moving-image archive.
14,United States,미국,U.S. National Archives (NARA),National Archives,https://www.youtube.com/USNationalArchives,Free (public/gov),"Government films, newsreels, WWII; 108,000+ titles (digitizing)",Active,National Film Archive / Cinematheque,Added,Free via NARA Online Catalog + YouTube. Mostly public-domain.
15,Canada,캐나다,Crave,Crave,https://www.crave.ca,SVOD + AVOD,General (HBO/Starz + Canadian CTV/Noovo),Active,Commercial OTT,Original,Bell Media. Canada-only.
16,Canada,캐나다,National Film Board of Canada,Office national du film du Canada (ONF),https://www.nfb.ca,Free (public),"Documentary, animation, Indigenous & Canadian cinema",Active,National Cinema / Film Institute,Original,"7,000+ films free."
17,Argentina,아르헨티나,CINE.AR PLAY,CINE.AR PLAY,https://play.cine.ar,Free (public),Argentine national cinema,Active (governance volatile),National Cinema / Film Institute,Original,INCAA platform. Geo-restricted to Argentina; 2025 decree threatens privatization.
18,Argentina,아르헨티나,Cinemargentino,Cinemargentino,https://www.cinemargentino.com,TVOD / SVOD,Argentine independent cinema,Active,Arthouse / Curated,Added,Private alternative to state-run CINE.AR.
