id,type,outlet,critic,year,language,tier,title,comment,verdict_le10,verbatim_verified,dek_lead,url
1,criticism,The New Yorker,,2020,en,title,"“Nomadland,” Reviewed: Chloé Zhao’s Nostalgic Portrait of Itinerant America","“Nomadland,” Reviewed: Chloé Zhao’s Nostalgic Portrait of Itinerant America",,false,"The film exalts the working class, but it doesn’t let working people present themselves.",https://www.newyorker.com/culture/the-front-row/nomadland-reviewed-chloe-zhaos-nostalgic-portrait-of-itinerant-america
2,criticism,The Guardian,,2020,en,verdict,Nomadland review – Chloe Zhao’s triumphant ode to community | Nomadland,eschews conflict in favour of quiet humanity,eschews conflict in favour of quiet humanity,true,"Zhao’s triple Oscar winner, inspired by the ‘new nomads’ of recession-hit America, eschews conflict in favour of quiet humanity",https://www.theguardian.com/film/2021/may/02/nomadland-review-chloe-zhao-frances-mcdormand
3,criticism,Little White Lies,,2020,en,title,Nomadland review – A melancholy marvel from Chloé Zhao,Nomadland review – A melancholy marvel from Chloé Zhao,,false,,https://lwlies.com/reviews/nomadland/
4,criticism,Seventh Row,,2020,en,title,TIFF Review: Chloé Zhao's Nomadland is romantic to a fault,TIFF Review: Chloé Zhao's Nomadland is romantic to a fault,,false,,https://seventh-row.com/2020/09/13/tiff-review-chloe-zhao-nomadland/
5,criticism,RogerEbert.com,,2020,en,title,Nomadland movie review & film summary,Nomadland movie review & film summary,,false,,https://www.rogerebert.com/reviews/nomadland-movie-review-2020
6,criticism,Sight and Sound,,2020,en,title,Chloe Zhao on Nomadland and the road to rediscovery,Chloe Zhao on Nomadland and the road to rediscovery,,false,"Chloé Zhao’s sublime Nomadland follows a woman forced to join the US’s new economic nomads, eking out a living on the road. She talks about the film, and tapping into the old pioneer spirit.",https://www.bfi.org.uk/sight-and-sound/interviews/chloe-zhao-nomadland-american-western-road-rediscovery
7,academic,European Journal of Women s Studies,Arianna Vergari,2021,en,title,Film Review: <i>Nomadland</i> by Chloé Zhao,Film Review: <i>Nomadland</i> by Chloé Zhao,,false,,https://doi.org/10.1177/13505068211065666
8,academic,Schüren Verlag eBooks,Marie-Therese Mäder,2024,de,title,"Vom Ende zu einem Neuanfang. Über semi-fiktionale Zwischenräume in NOMADLAND (Chloé Zhao, US 2020)","Vom Ende zu einem Neuanfang. Über semi-fiktionale Zwischenräume in NOMADLAND (Chloé Zhao, US 2020)",,false,,https://doi.org/10.5771/9783741002519-169
9,academic,DOAJ (DOAJ: Directory of Open Access Journals),Gabriela Kvacek Betella,2023,pt,verdict,"Terras de ninguém: documentos e revelações do espaço em ""Sacro GRA"" (Gianfranco Rosi, 2013) e ""Nomadland"" (Chloé Zhao, 2020)",Nosso percurso elegeu filmes capazes de pontuar a discussão sobre,Nosso percurso elegeu filmes capazes de pontuar a discussão sobre,true,Nosso percurso elegeu filmes capazes de pontuar a discussão sobre a dificuldade material e a resiliência nas situações-limite impostas a cidadãos em espaços sensivelmente modificados por novas condições de trabalho e sobrevivência. Partimos,https://doi.org/10.34640/universidademadeira2022betella
10,academic,Tsantsa Revista de Investigaciones artísticas,Santiago López Delacruz,2021,es,verdict,El rol del artista en el cine independiente actual: Nomadland como ejemplo cultural del realismo capitalista,El arte audiovisual del siglo XXI con mayor frecuencia ha,El arte audiovisual del siglo XXI con mayor frecuencia ha,true,"El arte audiovisual del siglo XXI con mayor frecuencia ha generado obras fílmicas de presupuesto limitado de gran resonancia a nivel público. Es el caso de Nomadland, dirigida en 2020 por la realizadora china Chloé Zhao, galardonada con el ",https://doi.org/10.18537/tria.11.01.22
11,academic,The Expository Times,David Jasper,2023,en,verdict,Nomadland: A Film by Chloé Zhao,"Nomadland is a triple Oscar winning film, starring Frances McDormand","Nomadland is a triple Oscar winning film, starring Frances McDormand",true,"Nomadland is a triple Oscar winning film, starring Frances McDormand as Fern, widowed and from a dying town in Nevada, who sets out in an old camper van to join the community of nomads travelling the roads and deserts of the American west. ",https://doi.org/10.1177/00145246231156324
12,academic,English Education and Literature Journal (E-jou),Wildan Chaniago,2025,,verdict,The Minimalism and Contentment in Chloé Zhao Nomadland,This study analyzes the representation of minimalism and contentment in,This study analyzes the representation of minimalism and contentment in,true,"This study analyzes the representation of minimalism and contentment in Chloé Zhao’s film Nomadland (2020) by applying a qualitative descriptive method supported by textual film analysis. The research focuses on how the film’s dialogue, sce",https://doi.org/10.53863/e-jou.v6i01.1915
13,academic,Crime Media Culture An International Journal,Giuseppe Maglione,2021,en,title,"Film Review: Chloé Zhao, <i>Nomadland</i>","Film Review: Chloé Zhao, <i>Nomadland</i>",,false,,https://doi.org/10.1177/17416590211054338
14,academic,Film Matters,Dan Verley,2023,en,verdict,Nomadland (2020),Review of: Nomadland (2020) USA Director Chloé Zhao Runtime 207,Review of: Nomadland (2020) USA Director Chloé Zhao Runtime 207,true,Review of: Nomadland (2020) USA Director Chloé Zhao Runtime 207 minutes,https://doi.org/10.1386/fm_00295_5
