OldTrueMajor,NewMajorNo,NewMajorName,NewSub,Action,Note
I. Foundational & Classical Approaches,1,Foundations & Classical Approaches,A. Culture as a Whole Way of Life,KEEP,"Backbone anchor; well-formed low number"
XXVII. Anthropology of Culture,1,Foundations & Classical Approaches,B. Anthropology of Culture,FOLD,"Cultural Relativism -> classical anthro"
XLIX. Cultural Anthropology (Meaning),1,Foundations & Classical Approaches,B. Anthropology of Culture,FOLD,Culture as Meaning Systems
XXVI. Everyday Life Studies,1,Foundations & Classical Approaches,C. Everyday Life & Praxis,FOLD,Everyday Life Theory
XXXV. Philosophy of Culture,2,Philosophy & Aesthetics of Culture,A. Symbolic Forms & Praxis,FOLD,"Culture as Praxis Theory; dup label of XIII"
XIII. Philosophy of Culture,2,Philosophy & Aesthetics of Culture,A. Symbolic Forms & Praxis,KEEP,"Symbolic Forms / Critique of Modernity anchor"
XXXVI. Aesthetics (Cultural Context),2,Philosophy & Aesthetics of Culture,B. Cultural Aesthetics,FOLD,Cultural Aesthetics Theory
XCI. Cultural Authenticity,2,Philosophy & Aesthetics of Culture,C. Authenticity in Culture,FOLD,Authenticity in Culture Theory
XXXVIII. Posthumanism (Cultural),2,Philosophy & Aesthetics of Culture,D. Posthuman & Material Philosophy,FOLD,Posthuman Culture Theory
III. Critical Theory,3,Critical Theory & Frankfurt School,A. Culture Industry & Instrumental Reason,KEEP,Adorno/Horkheimer anchor
III. Critical Theory & Frankfurt School (Culture),3,Critical Theory & Frankfurt School,A. Culture Industry & Instrumental Reason,DEDUP,Duplicate of III; Culture Industry Theory
XLII. Critical Discourse Analysis (Cultural),3,Critical Theory & Frankfurt School,B. Ideology & Critical Discourse,FOLD,CDA in Cultural Studies
IV. Post-Structuralism,4,Post-Structuralism & Postmodernism,A. Simulation & Hyperreality,KEEP,Baudrillard/Jameson anchor
IV. Post-Structuralism & Postmodernism (Culture),4,Post-Structuralism & Postmodernism,A. Simulation & Hyperreality,DEDUP,Duplicate of IV; Simulation and Simulacra
XXX. Performance Studies (Cultural),4,Post-Structuralism & Postmodernism,B. Performativity & Discourse,FOLD,Performativity (Cultural)
II. British Cultural Studies (Birmingham School),5,British Cultural Studies (Birmingham School),A. Hegemony & Encoding/Decoding,KEEP,Hall/Hebdige anchor
XXV. Popular Culture Studies,5,British Cultural Studies (Birmingham School),B. Subculture & Fandom,FOLD,Fandom Studies -> subculture lineage
LX. Popular Culture & Politics,5,British Cultural Studies (Birmingham School),C. Popular Culture & Politics,FOLD,Cultural Politics of Popular Culture
LXXIX. Global Popular Culture,5,British Cultural Studies (Birmingham School),C. Popular Culture & Politics,FOLD,Global Popular Culture Theory
LXXXVIII. Cultural Resistance,5,British Cultural Studies (Birmingham School),D. Cultural Resistance,FOLD,Cultural Resistance Theory
V. Cultural Sociology,6,Cultural Sociology,"A. Habitus, Field & Capital",KEEP,Bourdieu anchor; well-formed
V. Cultural Sociology & Social Theory,6,Cultural Sociology,"A. Habitus, Field & Capital",DEDUP,Duplicate of V; Cultural Capital Theory
LXXVIII. Cultural Sociology (Aesthetics),6,Cultural Sociology,B. Taste & Distinction,FOLD,Sociology of Taste Theory
XCV. Cultural Sociology (Taste),6,Cultural Sociology,B. Taste & Distinction,FOLD,Cultural Omnivore Theory
XVIII. Sociology of Art,6,Cultural Sociology,C. Sociology of Art,FOLD,Art as Social System Theory
XLIII. Cultural Psychology,6,Cultural Sociology,D. Cultural Psychology & Self,FOLD,Cultural Self Theory
LXXI. Cultural Psychology (Identity),6,Cultural Sociology,D. Cultural Psychology & Self,FOLD,Cultural Identity Theory
LIV. Cultural Neuroscience,6,Cultural Sociology,D. Cultural Psychology & Self,FOLD,Cultural Neuroscience -> psychology cluster
LXXXIV. Cultural Consumption (Identity),6,Cultural Sociology,E. Consumption & Taste,FOLD,Identity Consumption Theory
VII. Media,7,Media & Communication,A. Media Effects & Audiences,KEEP,Agenda-Setting/Uses & Gratifications anchor
VII. Media & Communication in Culture,7,Media & Communication,A. Media Effects & Audiences,DEDUP,Duplicate of VII; Cultivation Theory
XIV. Media Archaeology (Cultural),7,Media & Communication,B. Media Archaeology & Materiality,FOLD,Media Archaeology (Cultural)
XXII. Visual Culture Studies,7,Media & Communication,C. Visual & Sound Culture,FOLD,Visual Culture Theory
XXI. Sound Studies (Cultural),7,Media & Communication,C. Visual & Sound Culture,FOLD,Soundscapes Theory
VIII. Global,8,Global & Transnational Culture,A. Hybridization & World Culture,KEEP,Cultural Hybridization / World Culture anchor
VIII. Global & Transnational Cultural Theories,8,Global & Transnational Culture,A. Hybridization & World Culture,DEDUP,Duplicate of VIII; Glocalization
XXXIII. Transnational Cultural Studies,8,Global & Transnational Culture,B. Diaspora & Deterritorialization,FOLD,Diasporic Culture Theory
XLVII. Global Cultural Flows (Deep Dive),8,Global & Transnational Culture,B. Diaspora & Deterritorialization,FOLD,Deterritorialization (Cultural)
XCII. Cultural Flows (Beyond Western),8,Global & Transnational Culture,B. Diaspora & Deterritorialization,FOLD,Reverse Cultural Flows Theory
LXII. Cultural Exchange Theories,8,Global & Transnational Culture,C. Creolization & Transculturation,FOLD,Transculturation
LXXXIX. Cultural Hybridity (Global Context),8,Global & Transnational Culture,C. Creolization & Transculturation,FOLD,Cultural Creolization Theory
LXVII. Cultural Industries (Global),8,Global & Transnational Culture,D. Global Cultural Industries & Diplomacy,FOLD,Global Cultural Industries Theory
LVII. Cultural Policy (Global),8,Global & Transnational Culture,D. Global Cultural Industries & Diplomacy,FOLD,Cultural Diplomacy Theory
LXXVI. Cultural Diplomacy,8,Global & Transnational Culture,D. Global Cultural Industries & Diplomacy,FOLD,Soft Power (Cultural Studies)
LVIII. Indigenous Cultural Studies,8,Global & Transnational Culture,E. Indigenous & Decolonial Culture,FOLD,Decolonizing Cultural Studies
LXXXII. Indigenous Cultural Revitalization,8,Global & Transnational Culture,E. Indigenous & Decolonial Culture,FOLD,Cultural Revitalization (Indigenous)
VI. Identity,9,Identity & Difference,"A. Gender, Race & Sexuality",KEEP,Doing Gender/Queer/Whiteness anchor
VI. Identity & Difference in Culture,9,Identity & Difference,"A. Gender, Race & Sexuality",DEDUP,Duplicate of VI; Intersectionality/Appropriation
XLI. Embodiment in Culture,9,Identity & Difference,B. Embodiment & Performativity,FOLD,Embodied Culture Theory
XX. Fashion Studies (Cultural),9,Identity & Difference,C. Fashion & Self-Presentation,FOLD,Fashion and Identity Theory
