auteur_slug,film_title,film_year,film_wikidata,rep_type,note
auteur-bong-joon-ho,Memories of Murder,2003,Q488169,defining,"breakout, canon Korean thriller"
auteur-bong-joon-ho,Mother,2009,Q483761,defining,Cannes Un Certain Regard 2009
auteur-bong-joon-ho,Parasite,2019,Q61448040,both,"Palme d'Or 2019, Best Picture Oscar"
auteur-park-chan-wook,Oldboy,2003,Q475693,defining,Cannes Grand Prix 2004
auteur-park-chan-wook,The Handmaiden,2016,Q20444585,both,BAFTA Best Film Not in English
auteur-park-chan-wook,Decision to Leave,2022,Q100889636,both,Cannes Best Director 2022
auteur-lee-chang-dong,Secret Sunshine,2007,Q496752,defining,Cannes Best Actress 2007
auteur-lee-chang-dong,Poetry,2010,Q486803,both,Cannes Best Screenplay 2010
auteur-lee-chang-dong,Burning,2018,Q27964354,recent,Cannes FIPRESCI 2018
auteur-hirokazu-kore-eda,Nobody Knows,2004,Q612298,defining,Cannes Best Actor 2004
auteur-hirokazu-kore-eda,Still Walking,2008,Q874074,defining,acclaimed family drama
auteur-hirokazu-kore-eda,Shoplifters,2018,Q48765577,both,Palme d'Or 2018
auteur-jia-zhangke,Platform,2000,Q197412,defining,"Hometown Trilogy, Sixth Generation landmark"
auteur-jia-zhangke,Still Life,2006,Q1371155,defining,Golden Lion 2006
auteur-jia-zhangke,A Touch of Sin,2013,Q13218237,both,Cannes Best Screenplay 2013
auteur-hou-hsiao-hsien,A City of Sadness,1989,Q133461,defining,Golden Lion 1989
auteur-hou-hsiao-hsien,Flowers of Shanghai,1998,Q383729,defining,late-Qing courtesan drama
auteur-hou-hsiao-hsien,The Assassin,2015,Q15831713,both,Cannes Best Director 2015
auteur-tsai-ming-liang,Vive L'Amour,1994,Q711684,defining,Golden Lion 1994
auteur-tsai-ming-liang,"Goodbye, Dragon Inn",2003,Q3110692,defining,cult arthouse landmark
auteur-tsai-ming-liang,Stray Dogs,2013,Q12144835,both,Venice Grand Jury Prize 2013
auteur-apichatpong-weerasethakul,Tropical Malady,2004,Q594131,defining,Cannes Jury Prize 2004
auteur-apichatpong-weerasethakul,Syndromes and a Century,2006,Q3508807,defining,Venice competition entry
auteur-apichatpong-weerasethakul,Uncle Boonmee Who Can Recall His Past Lives,2010,Q553901,both,Palme d'Or 2010
auteur-ryusuke-hamaguchi,Happy Hour,2015,Q28682695,defining,"Locarno Best Actress, 5h breakthrough"
auteur-ryusuke-hamaguchi,Asako I & II,2018,Q51800443,recent,Cannes competition 2018
auteur-ryusuke-hamaguchi,Drive My Car,2021,Q107107865,both,Oscar Best International Feature
auteur-lav-diaz,"Norte, the End of History",2013,Q13099348,both,Cannes Un Certain Regard 2013
auteur-lav-diaz,From What Is Before,2014,Q17986904,recent,Locarno Golden Leopard 2014
auteur-lav-diaz,The Woman Who Left,2016,Q26158148,both,Golden Lion 2016
auteur-kiyoshi-kurosawa,Cure,1997,Q1144476,defining,"breakthrough J-horror, canon"
auteur-kiyoshi-kurosawa,Pulse,2001,Q196184,defining,influential techno-horror
auteur-kiyoshi-kurosawa,Tokyo Sonata,2008,Q1368350,defining,Cannes Un Certain Regard Jury Prize
auteur-kiyoshi-kurosawa,Wife of a Spy,2020,Q97768272,recent,Venice Silver Lion 2020
auteur-bi-gan,Kaili Blues,2015,Q20687830,both,Locarno Best Emerging Director
auteur-bi-gan,Long Day's Journey into Night,2018,Q51879925,both,"Cannes Un Certain Regard, 3D long take"
