theorist,concept,native,one_liner,part,major,sub,era,source,confidence
Aimé Césaire,Négritude,Négritude,Affirmation of shared Black identity and culture against colonial erasure,Critics,III. Identity-Based & Political,C. Postcolonial & Critical Race,Modern,Knowledge,high
Aimé Césaire,Thingification,chosification,Colonialism reduces the colonized person to an exploitable object or thing,Critics,III. Identity-Based & Political,C. Postcolonial & Critical Race,Modern,Web,high
Aimé Césaire,Colonial Boomerang Effect,choc en retour,Colonial barbarism returns home to brutalize and dehumanize Europe itself,Politics,"6. Postcolonial, Feminist & Environmental Politics",A. Postcolonial & Decolonial Politics,Modern,Web,high
Aimé Césaire,Civilization-as-Decivilization,,Colonization morally degrades the colonizer while pretending to civilize others,Critics,III. Identity-Based & Political,C. Postcolonial & Critical Race,Modern,Web,high
Alan Cholodenko,The Animatic,,Animation as the suppressed condition of all film and of life itself,Critics,II. Post-Structuralist & Deconstructive,A. Deconstruction,Contemporary,Web,high
Alan Cholodenko,Animatic Automaton,,Film as a machine fusing the animistic (life) and mechanistic (motion),ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,Contemporary,Web,high
Alan Cholodenko,Endowing with Life/Motion,,Animation splits between conjuring life and merely conjuring movement,ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,Contemporary,Web,med
Alan Cholodenko,Illusion of Life,,Static images conjure a perceptual illusion of living movement,ART,7. Visual Culture & Media Studies,A. Visual Culture & Spectacle,Contemporary,Web,high
Alberto Toscano,Real Abstraction,,Abstractions like value operate concretely in society before appearing in thought,Critics,VI. Marxist & Materialist,C. Commodity & Political Economy,Contemporary,Web,high
Alberto Toscano,Fanaticism as Idea,,Genealogy of how the West uses fanaticism to delegitimize radical politics,Politics,3. Radical & Critical Traditions,C. Critical Theory & Neo-Marxism,Contemporary,Web,high
Alberto Toscano,Late Fascism,,Contemporary authoritarianism analyzed through and against historical fascism,Politics,"4. Power, Elites & Classical Democratic Theory",C. Totalitarianism & Authoritarianism,Contemporary,Web,high
Alberto Toscano,Abstraction and Racialization,,Capitalist abstraction is entangled with processes of racial formation,Critics,VI. Marxist & Materialist,C. Commodity & Political Economy,Contemporary,Web,med
Aleida Assmann,Functional Memory,Funktionsgedächtnis,Inhabited memory actively shaping group identity through selection and narrative,Critics,V. Historical & Cultural Materialist,C. Memory & Book History,Contemporary,Web,high
Aleida Assmann,Storage Memory,Speichergedächtnis,Uninhabited archive of past materials reserved for future cultural reuse,Critics,V. Historical & Cultural Materialist,C. Memory & Book History,Contemporary,Web,high
Aleida Assmann,Canon and Archive,,Cultural memory split between actively canonized and passively stored knowledge,Culture,"14. Memory, Time, Trauma & Resilience",A. Cultural & Public Memory,Contemporary,Web,high
