id,type,outlet,critic,year,language,tier,title,comment,verdict_le10,verbatim_verified,dek_lead,url
1,criticism,The Guardian,,2018,en,title,Cold War review – love in a communist climate | Cold War,Cold War review – love in a communist climate | Cold War,,false,Paweł Pawlikowski’s love letter to his parents is a sweeping tale of passion and politics set in the shadow of the iron curtain,https://www.theguardian.com/film/2018/sep/02/cold-war-pawel-pawlikowski-review-mark-kermode
2,criticism,RogerEbert.com,,2018,en,title,Cold War movie review & film summary,Cold War movie review & film summary,,false,,https://www.rogerebert.com/reviews/cold-war-2018
3,criticism,Los Angeles Times,,2018,en,title,"Review: Pawel Pawlikowski's ‘Cold War’ is a stunning, white-hot romance","Review: Pawel Pawlikowski's ‘Cold War’ is a stunning, white-hot romance",,false,,https://www.latimes.com/entertainment/movies/la-et-mn-cold-war-review-20181220-story.html
4,criticism,Variety,,2018,en,title,"'Cold War' Review: Pawlikowski's Star-Crossed, Jazz-Infused Love Story","'Cold War' Review: Pawlikowski's Star-Crossed, Jazz-Infused Love Story",,false,"""Cold War"" may return to the meticulous monochrome aesthetic of ""Ida,"" but it's a companion piece with its own tonal and structural energy.",https://variety.com/2018/film/reviews/cold-war-review-1202804041/
5,criticism,The New York Times,,2018,en,title,'Cold War' Review: Love Without Borders,'Cold War' Review: Love Without Borders,,false,,https://www.nytimes.com/2018/12/20/movies/cold-war-review.html
6,criticism,The New Yorker,,2018,en,title,"In “Cold War,” Pawel Pawlikowski Tells His Parents’ Love Story","In “Cold War,” Pawel Pawlikowski Tells His Parents’ Love Story",,false,"Over and over, the hero and heroine of the film are separated by borders and ideologies, but they remain fatefully drawn to each other.",https://www.newyorker.com/culture/culture-desk/in-cold-war-pawel-pawlikowski-tells-his-parents-love-story
7,academic,Sustainability,Agnieszka Hess,2020,en,verdict,Promotion of Polish Cinema Abroad as an Element of Nation Branding. Case Study of “Cold War” (2018) by Pawel Pawlikowski,The subject of this article is nation branding in the,The subject of this article is nation branding in the,true,"The subject of this article is nation branding in the culture market, namely the role cinematography plays in creating a nation brand. Sustainability and sustainable development in the film industry is conditioned by variety in cultural pro",https://doi.org/10.3390/su12145621
8,academic,Film Quarterly,Jerry White,2019,en,verdict,"Cold War Contexts: Pawlikowski in Film, Television, and European History",Jerry White compares Paweł Pawlikowski's new film Zimna wojna (Cold,Jerry White compares Paweł Pawlikowski's new film Zimna wojna (Cold,true,"Jerry White compares Paweł Pawlikowski's new film Zimna wojna (Cold War, 2018) to Karpo Godina's classic Slovenian film Rdeči boogie ali Kaj ti je deklica (Red Boogie, 1982), discussing the narrative and thematic continuities between the tw",https://doi.org/10.1525/fq.2019.72.3.44
9,academic,Załącznik Kulturoznawczy,Izabela Tomczyk-Jarzyna,2024,en,verdict,Photography and Nostalgia. About the Cold War Film by Paweł Pawlikowski,The text attempts to answer the question: why does blurring,The text attempts to answer the question: why does blurring,true,"The text attempts to answer the question: why does blurring the lines between film and photography play such a significant role in Pawlikowski's movie, and how does the use of photographic solutions in the cinematic narrative lead Pawlikows",https://doi.org/10.21697/zk.2024.11.32
10,academic,Critique,Patrizia Lombardo,2019,fr,verdict,« Toujours tu reviendras Mélancolie » : Cold War de Paweł Pawlikowski,Il faut un doigt magique pour assembler des chapitres appartenant,Il faut un doigt magique pour assembler des chapitres appartenant,true,"Il faut un doigt magique pour assembler des chapitres appartenant autant d'histoires entrecroises : celle d'un amour ravageant, celle de la Pologne stalinienne des annes 1950, celle de la musique, entre les chants et danses des paysans polo",https://doi.org/10.3917/criti.864.0460
11,academic,Scholarship,Conor McPherson,2023,de,verdict,Cold War,and a compelling story of passion,and a compelling story of passion,true,"Conor McPherson’s stage adaptation of the film Cold War by Academy Award winner Paweł Pawlikowski is an epic love story spanning the decades and breadth of Europe at its most divided, and a compelling story of passion, redemption, and the j",https://doi.org/10.5040/9781784608033.00000002
12,academic,Mediatization Studies,Joanna Najbor,2022,en,verdict,Mediatization of Film Discourse on the Example of Paweł Pawlikowski’s Film “Cold War” (2018) – Results of Research,Celem artykułu jest zaprezentowanie zagadnienia mediatyzacji dyskursu filmowego w kontekście,Celem artykułu jest zaprezentowanie zagadnienia mediatyzacji dyskursu filmowego w kontekście,true,Celem artykułu jest zaprezentowanie zagadnienia mediatyzacji dyskursu filmowego w kontekście brandingu narodowego oraz określenie roli kinematografii w procesie kreowania marki kraju. Zamierzeniem autorki było przyjrzenie się formom promocj,https://doi.org/10.17951/ms.2021.5.77-94
13,academic,Kulʹturologìčna dumka,Slawomir Platek,2021,en,verdict,Ida and the Cold War as (neo)modern movies,The subject of the article is the analysis of the,The subject of the article is the analysis of the,true,The subject of the article is the analysis of the latest films by Paweł Pawlikowski in terms of their affiliation to trends in contemporary cinematography. Ida and Cold War are sometimes described as the artistic heritage of the Polish Film,https://doi.org/10.37627/2311-9489-21-2022-1.51-68
14,academic,Dziennikarstwo i Media,Izabela Andrzejak,2021,en,verdict,Folk dance as a tool of socialist propaganda based on Paweł Pawlikowski’s Cold War,The article addressed the issue of using folk dance as,The article addressed the issue of using folk dance as,true,The article addressed the issue of using folk dance as a tool of propaganda by the communist party. It is not uncommon to associate the activity of folk groups with the period of socialist realism and the years that followed in. Folk song a,https://doi.org/10.19195/2082-8322.15.4
