OldTrueMajor,NewMajorNo,NewMajorName,NewSub,Action,Note
"I. Medical Sociology","I","Medical Sociology","A. Core Theories & Medicalization",keep,"Backbone root. Illness experience, medicalization, social determinants, fundamental cause."
"I. Medical Sociology & Social Theories of Health","I","Medical Sociology","B. Social Construction of Illness",relabel,"Social Construction of Illness. Folded into Medical Sociology backbone."
"XVIII. Medicalization of Deviance","I","Medical Sociology","A. Core Theories & Medicalization",remap,"Deviance as Illness. Singleton variant of medicalization; merged."
"XXVII. Medicalization of Risk","I","Medical Sociology","A. Core Theories & Medicalization",remap,"Medicalization of Risk. Singleton variant of medicalization; merged."
"LXXX. Medicalization of Childbirth","I","Medical Sociology","A. Core Theories & Medicalization",remap,"Medicalization of Childbirth. Singleton variant of medicalization; merged."
"CXXVI. Sociology of Death & Dying (Medicalization)","I","Medical Sociology","A. Core Theories & Medicalization",remap,"Medicalization of Dying. High-number singleton; merged into medicalization."
"XXII. Sociology of Death & Dying","I","Medical Sociology","C. Chronic Illness, Aging & Dying",remap,"Death in Society. Folded into illness-course/aging/dying sub."
"L. Sociology of Disease (Chronic Illness)","I","Medical Sociology","C. Chronic Illness, Aging & Dying",remap,"Chronic Illness Trajectory Model. Singleton; merged."
"LVIII. Sociology of Health (Aging)","I","Medical Sociology","C. Chronic Illness, Aging & Dying",remap,"Sociology of Aging & Health. Singleton; merged."
"XCVIII. Sociology of Health (Life Course)","I","Medical Sociology","C. Chronic Illness, Aging & Dying",remap,"Life Course Perspective. Singleton; merged."
"LXI. Sociology of Addiction","I","Medical Sociology","C. Chronic Illness, Aging & Dying",remap,"Social Control of Addiction. Singleton; merged into chronic/illness-course."
"XIX. Sociology of Profession (Medicine)","I","Medical Sociology","D. Profession, Expertise & Clinical Encounter",remap,"Professional Dominance Theory. Singleton; merged."
"XXX. Sociology of Expertise (Medicine)","I","Medical Sociology","D. Profession, Expertise & Clinical Encounter",remap,"Lay Expertise. Singleton; merged."
"XXXIV. Sociology of the Clinical Encounter","I","Medical Sociology","D. Profession, Expertise & Clinical Encounter",remap,"Clinical Gaze (Post-Foucault). Singleton; merged."
"CVI. Sociology of Health (Trust)","I","Medical Sociology","D. Profession, Expertise & Clinical Encounter",remap,"Trust in Healthcare. High-number singleton; merged."
"XCV. Sociology of Patient Advocacy","I","Medical Sociology","D. Profession, Expertise & Clinical Encounter",remap,"Patient Advocacy. Singleton; merged."
"XC. Sociology of Risk (Health)","I","Medical Sociology","A. Core Theories & Medicalization",remap,"Social Construction of Health Risk. Singleton; merged."
"LXXI. Sociology of Pain","I","Medical Sociology","E. Body, Pain & Embodiment (Sociological)",remap,"Social Construction of Pain. Singleton; merged."
"CXX. Sociology of Pain (Social Meaning)","I","Medical Sociology","E. Body, Pain & Embodiment (Sociological)",remap,"Social Meaning of Pain. High-number singleton; merged."
"CXI. Sociology of Health (Technology)","I","Medical Sociology","F. Health, Technology & Surveillance",remap,"Health Technology and Society. High-number singleton; merged."
"CXXIII. Sociology of Health (Technology & Surveillance)","I","Medical Sociology","F. Health, Technology & Surveillance",remap,"Quantified Self and Health. High-number singleton; merged."
"LXXIV. Sociology of Health (Globalization)","I","Medical Sociology","G. Globalization & Social Movements (Health)",remap,"Globalization of Health. Singleton; merged."
"LXXIII. Public Health (Social Movements)","I","Medical Sociology","G. Globalization & Social Movements (Health)",remap,"Health Social Movements. Singleton; merged under medical sociology movements."
"CIX. Sociology of Care (Gender)","I","Medical Sociology","H. Care, Trust & Social Relations",remap,"Gendered Care Work. High-number singleton; merged."
"LXXIX. Sociology of Care","I","Medical Sociology","H. Care, Trust & Social Relations",remap,"Care Ethics (Sociology of Care). Singleton; merged."
"II. Medical Anthropology","II","Medical Anthropology & Cultural Models","A. Culture, Healing & Explanatory Models",keep,"Backbone root. Culture-bound syndromes, illness narratives, ritual healing, placebo."
"II. Medical Anthropology & Cultural Models of Health","II","Medical Anthropology & Cultural Models","A. Culture, Healing & Explanatory Models",relabel,"Explanatory Models of Illness. Folded into anthropology backbone."
"LXXXIII. Medical Anthropology (Ethnomedicine)","II","Medical Anthropology & Cultural Models","A. Culture, Healing & Explanatory Models",remap,"Ethnomedicine. Singleton; merged."
"XLIX. Medical Anthropology (Healing Systems)","II","Medical Anthropology & Cultural Models","A. Culture, Healing & Explanatory Models",remap,"Healing Systems. Singleton; merged."
"LXVII. Medical Anthropology (Biomedicine)","II","Medical Anthropology & Cultural Models","A. Culture, Healing & Explanatory Models",remap,"Biomedicine as Culture. Singleton; merged."
"CXVIII. Medical Anthropology (Spirituality)","II","Medical Anthropology & Cultural Models","A. Culture, Healing & Explanatory Models",remap,"Spirituality and Health (Anthropological). High-number singleton; merged."
"XCVII. Medical Anthropology (Illness Meaning)","II","Medical Anthropology & Cultural Models","B. Illness Experience, Meaning & Suffering",remap,"Meaning of Illness. Singleton; merged."
