OldTrueMajor,NewMajorNo,NewMajorName,NewSub,Action,Note
[SYNTHESIZED] Classical & Neoclassical Economics: Classical Political Economy,I,Classical & Neoclassical Economics,Classical Political Economy,add,Canonical backbone root (Smith/Ricardo/Mill lineage). No input rows; spine anchor for the discipline.
[SYNTHESIZED] Classical & Neoclassical Economics: Marginalism & General Equilibrium,I,Classical & Neoclassical Economics,Marginalism & General Equilibrium,add,"Backbone Sub (marginal utility, Walrasian GE, Pareto). Spine anchor."
[SYNTHESIZED] Classical & Neoclassical Economics: Microeconomic Foundations,I,Classical & Neoclassical Economics,Microeconomic Foundations,add,"Backbone Sub (rational choice, supply/demand, welfare theorems). Spine anchor."
[SYNTHESIZED] Macroeconomics & Monetary Theory: Keynesian & New Keynesian,II,Macroeconomics & Monetary Theory,Keynesian & New Keynesian,add,"Canonical backbone root (Keynes, IS-LM, sticky prices). Spine anchor."
[SYNTHESIZED] Macroeconomics & Monetary Theory: Monetarism & New Classical,II,Macroeconomics & Monetary Theory,Monetarism & New Classical,add,"Backbone Sub (Friedman, rational expectations, RBC). Spine anchor."
[SYNTHESIZED] Institutional & Evolutionary Economics: Institutional Economics,VII,Institutional & Evolutionary Economics,Institutional Economics,add,"Backbone Sub (old/new institutionalism, Veblen, North, transaction costs). Spine anchor."
"[SYNTHESIZED] Welfare, Happiness & Heterodox Economics: Marxist & Heterodox Traditions",XII,"Welfare, Happiness & Heterodox Economics",Marxist & Heterodox Traditions,add,"Canonical backbone Sub (Marxian value, post-Keynesian, Sraffian). Spine anchor for heterodoxy."
"[SYNTHESIZED] Platform, Digital & Data Economy: Platform & Network Economics",XIII,"Platform, Digital & Data Economy",Platform & Network Economics,add,"Canonical contemporary root (two-sided markets, network effects). Spine anchor; secures digital economy."
"[SYNTHESIZED] Platform, Digital & Data Economy: Data & Algorithmic Markets",XIII,"Platform, Digital & Data Economy",Data & Algorithmic Markets,add,"Backbone Sub (data as factor, algorithmic pricing, attention markets). Spine anchor."
"[SYNTHESIZED] Platform, Digital & Data Economy: Gig & Automation Economy",XIII,"Platform, Digital & Data Economy",Gig & Automation Economy,add,"Backbone Sub (gig/precarious labor, automation, AI labor displacement). Spine anchor."
