OldTrueMajor,NewMajorNo,NewMajorName,NewSub,Action,Note
"XXX. Theory of History","I","Philosophy of History","B. Analytic & Metahistory",relabel,"Metahistory, analytic philosophy of history, historical objectivity, presentism. Backbone anchor."
"XXX. Theory of History (Metahistory)","I","Philosophy of History","B. Analytic & Metahistory",merge,"Speculative philosophy of history. High-number variant folded into Major I."
"I. Classical & Early Modern Approaches","I","Philosophy of History","A. Speculative & Classical",relabel,"Cyclical theory, providential history, Rankean historicism. Classical speculative root."
"LXVIII. History of Time","I","Philosophy of History","C. Time & Temporality",merge,"History of time as concept. Singleton folded to temporality sub."
"LIV. Historiography","II","Historiography & Method","B. Schools of Historiography",relabel,"Use and Abuse of History, hermeneutics, philosophy of time. Mapped to historiography backbone."
"LIV. Historiography (Advanced)","II","Historiography & Method","B. Schools of Historiography",merge,"Historical responsibility. Advanced variant merged."
"XXV. Historical Methodology","II","Historiography & Method","A. Source Criticism & Method",relabel,"Source criticism, internal/external criticism, counterfactual history, causation."
"XXXIX. Historiographical Debates","II","Historiography & Method","B. Schools of Historiography",merge,"Microhistory vs macrohistory, individual vs structure debates. Folded into historiography."
"VI. Quantitative History","II","Historiography & Method","C. Quantitative & Cliometrics",merge,"Quantitative history. Singleton folded to quantitative sub."
"VI. Quantitative History & Cliometrics","II","Historiography & Method","C. Quantitative & Cliometrics",merge,"Cliometrics. Variant deduped into quantitative sub."
"II. Marxist & Materialist Approaches","III","Marxist & Social History","A. Historical Materialism",relabel,"Historical materialism, base/superstructure, modes of production. Marxist backbone root."
"XVI. Economic History","III","Marxist & Social History","B. Economic History",relabel,"Capitalism, feudalism, industrial revolution, consumer history."
"XVIII. Social History","III","Marxist & Social History","C. Social Structure & Class",relabel,"Demographic history, history of childhood, history of class, rural history."
"XVIII. Social History (Advanced)","III","Marxist & Social History","C. Social Structure & Class",merge,"History of the family. Advanced variant merged."
"LXXII. History of Poverty","III","Marxist & Social History","C. Social Structure & Class",merge,"History of poverty. Singleton folded to social structure."
"XCVIII. History of Capitalism (Specific Aspect)","III","Marxist & Social History","B. Economic History",merge,"History of financialization. High-number singleton merged to economic history."
"XXXV. History of Consumption","III","Marxist & Social History","B. Economic History",merge,"History of credit & debt. Folded to economic history."
"XXXV. History of Consumption & Credit","III","Marxist & Social History","B. Economic History",merge,"History of consumer society. Variant deduped."
"III. Annales School","IV","Annales & Microhistory","A. Annales & Longue Duree",relabel,"Conjuncture, event, history from below, mentalites. Annales backbone root."
"III. Annales School & Social History","IV","Annales & Microhistory","A. Annales & Longue Duree",merge,"Longue duree. Variant deduped into Annales sub."
"V. Cultural History","IV","Annales & Microhistory","B. Microhistory & Everyday Life",relabel,"Alltagsgeschichte, microhistory, history of emotions, history of reading. Split: core to micro/everyday."
"V. Cultural History & Microhistory","IV","Annales & Microhistory","B. Microhistory & Everyday Life",merge,"Thick description (historical). Variant merged to microhistory."
"XX. History of Art","V","Cultural History","C. Art & Visual Culture",relabel,"Formalism (art history), social history of art. Mapped to cultural history backbone."
"XX. History of Art & Aesthetics","V","Cultural History","C. Art & Visual Culture",merge,"Iconography (art history). Variant deduped."
"LII. Cultural Studies","V","Cultural History","A. Cultural Practices",merge,"History of consumption (cultural). Singleton folded to cultural practices."
"LII. Cultural Studies (Historical Applications)","V","Cultural History","A. Cultural Practices",merge,"History of popular culture. Variant merged."
"XIX. History of Education","V","Cultural History","B. Book, Reading & Education",relabel,"History of universities, literacy, history of the book. Knowledge-culture sub."
"XIX. History of Education & Knowledge","V","Cultural History","B. Book, Reading & Education",merge,"History of education. Variant deduped."
"LXVII. History of Education (Specific Focus)","V","Cultural History","B. Book, Reading & Education",merge,"History of higher education. High-number singleton merged."
"XLIX. History of Media","V","Cultural History","C. Art & Visual Culture",merge,"History of print culture. Folded to visual/media culture."
"XLIX. History of Media & Communication","V","Cultural History","C. Art & Visual Culture",merge,"History of communication. Variant deduped."
"LXXXIV. History of the Media (Advanced)","V","Cultural History","C. Art & Visual Culture",merge,"History of visual culture. High-number singleton merged."
"LXXX. History of Technology (A. Printing & Information)","V","Cultural History","C. Art & Visual Culture",merge,"History of photography. Printing/imaging folded to visual culture."
"XLVII. History of Race","VI","Postcolonial & Decolonial History","B. Race & Racism",relabel,"Postcolonial critique of history. Postcolonial backbone root."
"XLVII. History of Race & Empire","VI","Postcolonial & Decolonial History","A. Empire & Imperialism",merge,"Imperialism (historical theory). Variant merged."
"XXXVIII. History of Race","VI","Postcolonial & Decolonial History","B. Race & Racism",merge,"Whiteness studies (historical). Folded to race & racism."
"XXXVIII. History of Race & Racism","VI","Postcolonial & Decolonial History","B. Race & Racism",merge,"Racial formation theory (historical). Variant deduped."
"XXXI. Indigenous","VI","Postcolonial & Decolonial History","C. Indigenous & Decolonial",relabel,"Decolonizing history, settler colonial studies. Indigenous/decolonial sub."
"XXXI. Indigenous & Decolonial Historical Approaches","VI","Postcolonial & Decolonial History","C. Indigenous & Decolonial",merge,"Indigenous history. Variant deduped."
"LXXXVII. History of Science & Race","VI","Postcolonial & Decolonial History","B. Race & Racism",merge,"History of scientific racism. High-number singleton merged."
"LXXXIII. History of Empires (Advanced)","VI","Postcolonial & Decolonial History","A. Empire & Imperialism",merge,"History of empires. Singleton folded to empire."
"IX. Memory Studies","VII","Memory & Oral History","A. Collective & Cultural Memory",relabel,"Postmemory, social frameworks of memory, trauma theory, heritage studies. Memory backbone root."
"IX. Memory Studies & Public History","VII","Memory & Oral History","A. Collective & Cultural Memory",merge,"Collective memory (historical). Variant deduped."
"XXIX. Memory Studies","VII","Memory & Oral History","A. Collective & Cultural Memory",merge,"Sites of memory, history of forgetting, structural amnesia. Folded to collective memory."
