OldTrueMajor,NewMajorNo,NewMajorName,NewSub,Action,Note
"I. Foundational Family Theories",1,"가족사회학·구조 (Family Sociology & Structure)","A. 구조기능주의·갈등 (Structural-Functional & Conflict)",FOLD,"구조기능주의/갈등/사회화/페미니즘 가족이론 등 토대 이론 → 백본 Major1 A"
"IV. Socio-Cultural & Critical Family Theories",1,"가족사회학·구조 (Family Sociology & Structure)","B. 사회구성주의·포스트모던 (Social Construction & Postmodern)",FOLD,"Social Construction of Family → Major1 B"
"IV. Socio-Cultural",1,"가족사회학·구조 (Family Sociology & Structure)","B. 사회구성주의·포스트모던 (Social Construction & Postmodern)",FOLD,"Doing Family/Postmodern Family/Queer Family → Major1 B"
"X. Theoretical Frameworks (GGG. Family & Theory)",1,"가족사회학·구조 (Family Sociology & Structure)","B. 사회구성주의·포스트모던 (Social Construction & Postmodern)",FOLD,"The Myth of the Traditional Family → 단발 병합 Major1 B"
"X. Theoretical Frameworks (FFF. Family & Theory)",1,"가족사회학·구조 (Family Sociology & Structure)","C. 가족제도·자본주의 (Family Institution & Capitalism)",FOLD,"Familial Capitalism → 단발 병합 Major1 C"
"X. Theoretical Frameworks (J. Critical Theory)",1,"가족사회학·구조 (Family Sociology & Structure)","C. 가족제도·자본주의 (Family Institution & Capitalism)",FOLD,"Commodification of Family Life → 단발 병합 Major1 C"
"X. Theoretical Frameworks (JJJ. Family & Theory)",1,"가족사회학·구조 (Family Sociology & Structure)","C. 가족제도·자본주의 (Family Institution & Capitalism)",FOLD,"Family Norms → 단발 병합 Major1 C"
"II. Systems & Cybernetic Theories",2,"가족체계·사이버네틱스 이론 (Family Systems & Cybernetics)","A. 체계·순환 인과 (Systems & Circular Causality)",FOLD,"Family Systems Theory/Circular Causality → 백본 Major2 A"
"II. Systems",2,"가족체계·사이버네틱스 이론 (Family Systems & Cybernetics)","B. 의사소통·구조적 가족치료 (Communication & Structural Therapy)",FOLD,"Communication Theory/Double Bind/Identified Patient/Structural Family Therapy → Major2 B"
"X. Theoretical Frameworks (RRR. Family & Theory)",2,"가족체계·사이버네틱스 이론 (Family Systems & Cybernetics)","A. 체계·순환 인과 (Systems & Circular Causality)",FOLD,"Homeostatic Family Theory → 단발 병합 Major2 A"
