OldTrueMajor,NewMajorNo,NewMajorName,NewSub,Action,Note
"I. Organizational Behavior & Management",1,"Organizational Behavior & Work Psychology","A. Motivation & Job Design",MERGE,"Core OB: needs/two-factor/expectancy/equity motivation"
"XVII. Organizational Behavior (Advanced)",1,"Organizational Behavior & Work Psychology","B. Justice, Exchange & Attitudes",MERGE,"Organizational justice (Greenberg), social exchange"
"XXIX. Organizational Justice (Specifics)",1,"Organizational Behavior & Work Psychology","B. Justice, Exchange & Attitudes",MERGE,"Procedural & interactional justice"
"LVIII. Organizational Behavior (Justice - Advanced)",1,"Organizational Behavior & Work Psychology","B. Justice, Exchange & Attitudes",MERGE,"Fairness heuristics theory"
"XL. Organizational Behavior (Well-being)",1,"Organizational Behavior & Work Psychology","C. Well-being, Engagement & Deviance",MERGE,"JD-R model, conservation of resources"
"CXVIII. Organizational Behavior (Well-being - Advanced)",1,"Organizational Behavior & Work Psychology","C. Well-being, Engagement & Deviance",MERGE,"Mindfulness in OB"
"CXXVIII. Organizational Behavior (Engagement)",1,"Organizational Behavior & Work Psychology","C. Well-being, Engagement & Deviance",MERGE,"JD-R engagement variant; dedup with XL"
"LXXXVIII. Organizational Behavior (Workplace Deviance)",1,"Organizational Behavior & Work Psychology","C. Well-being, Engagement & Deviance",MERGE,"Workplace deviance theory"
"XLIX. Organizational Behavior (Power)",1,"Organizational Behavior & Work Psychology","B. Justice, Exchange & Attitudes",MERGE,"French & Raven bases of power, power-dependence"
"LXXVIII. Organizational Behavior (Power)",1,"Organizational Behavior & Work Psychology","B. Justice, Exchange & Attitudes",MERGE,"Political skill theory; dedup with XLIX"
"XCIX. Leadership (Power)",1,"Organizational Behavior & Work Psychology","B. Justice, Exchange & Attitudes",MERGE,"Social power theory (placed with OB power)"
"XXXV. Organizational Behavior (Decision Making)",1,"Organizational Behavior & Work Psychology","D. Decision Making & Behavioral Ethics",MERGE,"Escalation of commitment, group polarization"
"CVIII. Organizational Behavior (Ethics)",1,"Organizational Behavior & Work Psychology","D. Decision Making & Behavioral Ethics",MERGE,"Behavioral ethics (OB)"
"LXVIII. Organizational Behavior (Learning)",1,"Organizational Behavior & Work Psychology","D. Decision Making & Behavioral Ethics",MERGE,"Reinforcement schedule theory (OB)"
"XCVIII. Organizational Behavior (Culture)",1,"Organizational Behavior & Work Psychology","C. Well-being, Engagement & Deviance",MERGE,"National culture and OB"
"II. Strategic Management",2,"Strategic Management & Competitive Advantage","A. Competitive Positioning & Resources",MERGE,"Five Forces, generic strategies, RBV, dynamic capabilities"
"XXI. Strategic Management (Behavioral)",2,"Strategic Management & Competitive Advantage","C. Behavioral & Cognitive Strategy",MERGE,"Behavioral strategy theory"
"XLI. Strategic Management (Behavioral)",2,"Strategic Management & Competitive Advantage","C. Behavioral & Cognitive Strategy",MERGE,"Prospect theory in strategy; dedup with XXI"
"LXXX. Strategic Management (Behavioral Economics)",2,"Strategic Management & Competitive Advantage","C. Behavioral & Cognitive Strategy",MERGE,"Behavioral corporate strategy"
"XC. Strategic Management (Cognition)",2,"Strategic Management & Competitive Advantage","C. Behavioral & Cognitive Strategy",MERGE,"Strategic cognition theory"
"C. Strategic Management (Adaptive)",2,"Strategic Management & Competitive Advantage","B. Adaptive, Emergent & Real Options",MERGE,"Adaptive strategy theory"
"CXXX. Strategic Management (Adaptive/Emergent)",2,"Strategic Management & Competitive Advantage","B. Adaptive, Emergent & Real Options",MERGE,"Emergent strategy theory; dedup with C"
"CXX. Strategic Management (Uncertainty)",2,"Strategic Management & Competitive Advantage","B. Adaptive, Emergent & Real Options",MERGE,"Real options theory (strategy)"
"CX. Strategic Management (Non-Market)",2,"Strategic Management & Competitive Advantage","B. Adaptive, Emergent & Real Options",MERGE,"Non-market strategy theory"
"LXX. Strategic Management (Learning)",2,"Strategic Management & Competitive Advantage","B. Adaptive, Emergent & Real Options",MERGE,"Organizational learning (strategic)"
"L. Strategic Management (Evolutionary)",3,"Organizational Theory & Design","C. Ecology, Resource Dependence & Evolution",MERGE,"Organizational/population ecology"
"X. Organizational Theory & Design",3,"Organizational Theory & Design","A. Institutional & Agency Theory",MERGE,"Institutional theory, isomorphism, decoupling, agency"
"LX. Organizational Theory (Ecological)",3,"Organizational Theory & Design","C. Ecology, Resource Dependence & Evolution",MERGE,"Resource dependence theory"
"III. Marketing",4,"Marketing & Consumer Behavior","A. Consumer Behavior & Decision Making",MERGE,"Consumer decision process, TRA/TPB, brand equity"
"XVIII. Marketing (Advanced Consumer Behavior)",4,"Marketing & Consumer Behavior","A. Consumer Behavior & Decision Making",MERGE,"Consumer culture theory, brand community"
"LXI. Marketing (Consumer Culture)",4,"Marketing & Consumer Behavior","A. Consumer Behavior & Decision Making",MERGE,"Consumer resistance theory"
"LXXXI. Marketing (Consumer Psychology)",4,"Marketing & Consumer Behavior","A. Consumer Behavior & Decision Making",MERGE,"Self-congruity theory"
"XCI. Marketing (Consumer Decision-Making)",4,"Marketing & Consumer Behavior","A. Consumer Behavior & Decision Making",MERGE,"Heuristics in consumer decision-making"
"CXI. Marketing (Consumer Neuroscience)",4,"Marketing & Consumer Behavior","A. Consumer Behavior & Decision Making",MERGE,"Neuromarketing theory"
"CI. Marketing (Pricing)",4,"Marketing & Consumer Behavior","A. Consumer Behavior & Decision Making",MERGE,"Behavioral pricing theory"
"XXVII. Marketing (Digital)",4,"Marketing & Consumer Behavior","C. Digital, CRM & Engagement",MERGE,"Digital marketing, viral marketing"
"XLII. Marketing (Digital)",4,"Marketing & Consumer Behavior","C. Digital, CRM & Engagement",MERGE,"CRM theory, customer lifetime value; dedup with XXVII"
"LXXI. Marketing (Digital Engagement)",4,"Marketing & Consumer Behavior","C. Digital, CRM & Engagement",MERGE,"Customer engagement theory"
"LI. Marketing (Relationship)",4,"Marketing & Consumer Behavior","B. Branding, Relationship & Social Marketing",MERGE,"Relationship marketing theory"
"XXXIII. Marketing (Social Aspects)",4,"Marketing & Consumer Behavior","B. Branding, Relationship & Social Marketing",MERGE,"Social marketing theory"
"CXXI. Marketing (Service Recovery)",4,"Marketing & Consumer Behavior","B. Branding, Relationship & Social Marketing",MERGE,"Service recovery paradox theory"
"V. Human Resource Management (HRM)",5,"Human Resource Management","A. Core HRM & Performance",MERGE,"Social capital, signaling, goal-setting, reinforcement"
"CIII. Human Resource Management (Performance)",5,"Human Resource Management","A. Core HRM & Performance",MERGE,"Effort-reward imbalance model"
"XVI. Human Resource Management (Strategic)",5,"Human Resource Management","D. Strategic HRM & Fit",MERGE,"Strategic HRM (SHRM)"
"XXXII. Strategic Human Resource Management (Fit)",5,"Human Resource Management","D. Strategic HRM & Fit",MERGE,"Vertical & horizontal fit (SHRM)"
"XXVI. Human Resource Management (Advanced)",5,"Human Resource Management","B. Engagement, Commitment & Psychological Contract",MERGE,"Psychological contract breach, employee engagement"
"LXIII. Human Resource Management (Commitment)",5,"Human Resource Management","B. Engagement, Commitment & Psychological Contract",MERGE,"Organizational commitment, turnover"
"LIII. Human Resource Management (Work-Life)",5,"Human Resource Management","C. Well-being, Work-Life & Job Design",MERGE,"Work-life balance, work-family conflict"
"LXXXIII. Human Resource Management (Well-being)",5,"Human Resource Management","C. Well-being, Work-Life & Job Design",MERGE,"Employee well-being theory"
"LXXIII. Human Resource Management (Flexibility)",5,"Human Resource Management","C. Well-being, Work-Life & Job Design",MERGE,"Flexible work arrangements"
"CXIII. Human Resource Management (Job Crafting)",5,"Human Resource Management","C. Well-being, Work-Life & Job Design",MERGE,"Job crafting theory"
"XCIII. Human Resource Management (Job Design)",5,"Human Resource Management","C. Well-being, Work-Life & Job Design",MERGE,"Job characteristics model (JCM)"
"CXXIII. Human Resource Management (Conflict)",5,"Human Resource Management","B. Engagement, Commitment & Psychological Contract",MERGE,"Conflict management styles"
"XLIV. Human Resource Management (Diversity)",5,"Human Resource Management","D. Strategic HRM & Fit",MERGE,"Diversity management, social categorization"
"XV. Leadership (Advanced)",6,"Leadership","A. Relational & Authentic Leadership",MERGE,"LMX theory, authentic leadership"
"CXIX. Leadership (Authenticity)",6,"Leadership","A. Relational & Authentic Leadership",MERGE,"Authentic followership theory"
"XXX. Leadership (Contextual)",6,"Leadership","B. Servant, Shared & Ethical Leadership",MERGE,"Shared leadership, servant leadership"
"LXIX. Leadership (Ethics)",6,"Leadership","B. Servant, Shared & Ethical Leadership",MERGE,"Ethical leadership theory"
"LXXIX. Leadership (Ethics)",6,"Leadership","B. Servant, Shared & Ethical Leadership",MERGE,"Servant leadership (advanced); dedup with XXX"
"LIX. Leadership (Contingency)",6,"Leadership","C. Contingency & Followership",MERGE,"Path-goal, Vroom-Yetton contingency"
"CIX. Leadership (Contingency - New)",6,"Leadership","C. Contingency & Followership",MERGE,"Cognitive resource theory of leadership"
"CXXIX. Leadership (Followership)",6,"Leadership","C. Contingency & Followership",MERGE,"Followership theory"
"LXXXIX. Leadership (Dark Side)",6,"Leadership","D. Destructive Leadership",MERGE,"Abusive supervision theory"
"VII. Innovation & Entrepreneurship",7,"Innovation & Entrepreneurship","A. Diffusion & Disruptive Innovation",MERGE,"Diffusion of innovations, disruptive innovation, entrepreneurial cognition"
"XXXVII. Innovation Management",7,"Innovation & Entrepreneurship","B. Ambidexterity & Open Innovation",MERGE,"Organizational ambidexterity, open innovation"
"LXXXV. Innovation (Ambidexterity)",7,"Innovation & Entrepreneurship","B. Ambidexterity & Open Innovation",MERGE,"Exploitation vs. exploration; dedup with XXXVII"
"LV. Innovation (Behavioral)",7,"Innovation & Entrepreneurship","B. Ambidexterity & Open Innovation",MERGE,"Behavioral innovation theory"
"LXV. Innovation (User-Centric)",7,"Innovation & Entrepreneurship","B. Ambidexterity & Open Innovation",MERGE,"User innovation theory"
"CV. Innovation (Ecosystems)",7,"Innovation & Entrepreneurship","C. Ecosystems & Innovation Systems",MERGE,"Innovation ecosystems theory"
"CXV. Innovation (Ecosystems)",7,"Innovation & Entrepreneurship","C. Ecosystems & Innovation Systems",MERGE,"Ecosystem approach to innovation; dedup with CV"
"XCV. Innovation (Organizational Context)",7,"Innovation & Entrepreneurship","C. Ecosystems & Innovation Systems",MERGE,"Innovation systems theory"
"CXXV. Innovation (Networked)",7,"Innovation & Entrepreneurship","C. Ecosystems & Innovation Systems",MERGE,"Network theory of innovation"
"LXXV. Innovation (Social Networks)",7,"Innovation & Entrepreneurship","C. Ecosystems & Innovation Systems",MERGE,"Social networks in innovation; dedup with CXXV"
"XIV. Entrepreneurship (Advanced)",7,"Innovation & Entrepreneurship","D. Entrepreneurial Opportunity & Effectuation",MERGE,"Effectuation, opportunity recognition"
"XLVI. Entrepreneurship (Social)",7,"Innovation & Entrepreneurship","D. Entrepreneurial Opportunity & Effectuation",MERGE,"Social entrepreneurship theory"
"VI. Operations Management & Supply Chain",8,"Operations, Quality & Supply Chain","A. Behavioral & Human Factors Operations",MERGE,"Behavioral operations, human factor theory"
"CXIV. Operations Management (Human Error)",8,"Operations, Quality & Supply Chain","A. Behavioral & Human Factors Operations",MERGE,"Human error theory"
"LXIV. Operations Management (Human Factors)",8,"Operations, Quality & Supply Chain","A. Behavioral & Human Factors Operations",MERGE,"Ergonomics (operations)"
