OldTrueMajor,NewMajorNo,NewMajorName,NewSub,Action,Note
"I. Classical Psychological Traditions",1,Psychoanalytic & Psychodynamic,A. Classical Psychoanalysis,FOLD,"Freud/Jung/Adler 고전 정신분석 전통 백본"
"XX. Personality Psychology (Advanced)",1,Psychoanalytic & Psychodynamic,B. Object Relations & Self,FOLD,"Interpersonal Psychoanalysis"
"XXXII. Personality Psychology (Advanced Models)",1,Psychoanalytic & Psychodynamic,B. Object Relations & Self,FOLD,"Self Psychology"
"XII. Counseling",1,Psychoanalytic & Psychodynamic,C. Psychodynamic Therapy,FOLD,"Relational Psychoanalysis/Schema/Gestalt 등 다수 - 정신역동 치료로 접기"
"XII. Counseling & Therapeutic Theories (Specific)",1,Psychoanalytic & Psychodynamic,C. Psychodynamic Therapy,FOLD,"Transference-Focused Psychotherapy (TFP)"
"CXVIII. Relationships (Attachment & Neuroscience)",1,Psychoanalytic & Psychodynamic,B. Object Relations & Self,FOLD,"Neurobiology of Attachment - 대상관계/자기로 접기"
"II. Cognitive",2,Cognitive,A. Social-Cognitive Theory,FOLD,"Self-Efficacy/Attribution/Locus of Control/Schema"
"II. Cognitive & Social-Cognitive Theories",2,Cognitive,A. Social-Cognitive Theory,FOLD,"Cognitive Dissonance Theory"
"XVII. Cognitive Psychology",2,Cognitive,C. Decision-Making & Heuristics,FOLD,"Levels of Processing/Prospect/Bounded Rationality"
"XVII. Cognitive Psychology (Advanced)",2,Cognitive,B. Memory & Attention,FOLD,"Working Memory Model"
"LXI. Cognitive Psychology (Beyond Memory)",2,Cognitive,B. Memory & Attention,FOLD,"Means-Ends Analysis"
"CIX. Cognitive Psychology (Problem Solving)",2,Cognitive,B. Memory & Attention,FOLD,"Insight (Psychology)"
"CXXI. Cognitive Psychology (Creativity)",2,Cognitive,B. Memory & Attention,FOLD,"Divergent Thinking Theory"
"XCI. Cognitive Psychology (Attention)",2,Cognitive,B. Memory & Attention,FOLD,"Selective Attention Theory"
"XCIX. Developmental Psychology (Cognitive Flexibility)",2,Cognitive,B. Memory & Attention,FOLD,"Executive Functions Theory - 인지로 접기"
"LXXXII. Memory (Advanced)",2,Cognitive,B. Memory & Attention,FOLD,"Constructive Memory"
"XLVI. Cognitive Psychology (Applied)",2,Cognitive,B. Memory & Attention,FOLD,"Deliberate Practice Theory"
"LXXIII. Cognitive Psychology (Language)",2,Cognitive,B. Memory & Attention,FOLD,"Universal Grammar Theory"
"CXIV. Developmental Psychology (Language)",2,Cognitive,B. Memory & Attention,FOLD,"Interactionist Theory of Language Acquisition - 언어/인지로 접기"
"LIII. Decision-Making (Behavioral Economics)",2,Cognitive,C. Decision-Making & Heuristics,FOLD,"Anchoring Bias"
"CII. Cognitive Bias Theory",2,Cognitive,C. Decision-Making & Heuristics,FOLD,"Hindsight Bias"
"XXVIII. Social Cognition",2,Cognitive,C. Decision-Making & Heuristics,FOLD,"Representativeness Heuristic"
"XXVIII. Social Cognition (Advanced)",2,Cognitive,C. Decision-Making & Heuristics,FOLD,"Availability Heuristic"
"VIII. Cognitive Science",3,Cognitive Science & Neuroscience,A. Cognitive Science,FOLD,"Theory of Mind/Embodied Cognition/Neuroplasticity"
