theorist,concept,native,one_liner,part,major,sub,era,source,confidence
Cho Hae-joang (조한혜정),Colonized Consciousness,식민지적 의식,Internalized colonial subjectivity shaping postcolonial Korean self-perception.,Culture,Global & Transnational Culture,E. Indigenous & Decolonial Culture,Contemporary,DB,high
Cho Hae-joang (조한혜정),Gender and Culture,,Korean modernity examined through the lens of gendered everyday life.,Culture,Global & Transnational Culture,E. Indigenous & Decolonial Culture,Contemporary,DB,high
Cho Hae-joang (조한혜정),Reflexive Modernity in Korea,성찰적 근대성,Self-critical rethinking of Korea's compressed modernization.,Culture,Global & Transnational Culture,E. Indigenous & Decolonial Culture,Contemporary,DB,high
Cho Hae-joang (조한혜정),Reading Texts Reading Lives,글 읽기와 삶 읽기,Reading students' lives as texts of postcolonial cultural conflict.,Culture,Global & Transnational Culture,E. Indigenous & Decolonial Culture,Contemporary,Web,high
Cho Hae-joang (조한혜정),Haja Center / Alternative Education,하자센터,Youth-centered alternative culture project resisting credential-driven schooling.,Culture,Global & Transnational Culture,E. Indigenous & Decolonial Culture,Contemporary,Web,high
Cho Hae-joang (조한혜정),Korean Wave as Global Shift,한류,Reading the Korean Wave as a sign of global power realignment.,Culture,Global & Transnational Culture,E. Indigenous & Decolonial Culture,Contemporary,Web,med
C. Riley Snorton,Black on Both Sides,,A racial history of transness across Black gender's mutability.,Critics,Identity-Based & Political,B. Queer Theory,Contemporary,DB,high
C. Riley Snorton,Fungibility of Blackness,,Enslaved Black flesh as ungendered exchangeable matter.,Critics,Identity-Based & Political,B. Queer Theory,Contemporary,DB,high
C. Riley Snorton,Transfiguration,,Gender's transformation through histories of racial captivity and escape.,Critics,Identity-Based & Political,B. Queer Theory,Contemporary,DB,high
C. Riley Snorton,Captivity and Fugitivity,,Black trans embodiment between captive flesh and fugitive movement.,Critics,Identity-Based & Political,B. Queer Theory,Contemporary,Knowledge,med
C. Riley Snorton,Glances (Trans Looking),,The trans glance as alternative to fixed visual recognition.,Critics,Identity-Based & Political,B. Queer Theory,Contemporary,Knowledge,med
Christina Sharpe,In the Wake,,Living and thinking in the ongoing aftermath of slavery.,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,DB,high
Christina Sharpe,The Weather (Anti-blackness),,Anti-blackness as a total pervasive climate enveloping Black life.,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,DB,high
Christina Sharpe,Wake Work,,Care-driven practice of attending to Black death and survival.,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,DB,high
Christina Sharpe,The Hold,,The slave ship's hold as enduring structure of Black confinement.,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Knowledge,med
Christina Sharpe,Residence Time,,The long persistence of the dead in oceanic and historical memory.,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Knowledge,med
Christina Sharpe,Ordinary Notes,,Fragmentary note-form as method for Black aesthetic and historical thought.,Critics,Identity-Based & Political,C. Postcolonial & Critical Race,Contemporary,Knowledge,med
Dai Jinhua (戴錦華),Gendered Cinema,性别与电影,Chinese film read through gender's structuring absences and desires.,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Contemporary,DB,high
Dai Jinhua (戴錦華),Invisible Writing,隐形书写,Women's experience inscribed invisibly within patriarchal cultural narratives.,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Contemporary,DB,high
Dai Jinhua (戴錦華),Post-Socialist China,后社会主义中国,Cultural analysis of China's erasure of its socialist history.,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Contemporary,DB,high
Dai Jinhua (戴錦華),Scene in the Mist,雾中风景,Chinese cinema 1978-1998 viewed as obscured shifting terrain.,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Contemporary,Web,high
Dai Jinhua (戴錦華),Hall of Mirrors,镜城,National self-imagination reflected through diasporic and global narratives.,Critics,Identity-Based & Political,A. Feminist & Gender Criticism,Contemporary,Web,med
Debbie Ging,Alphas/Betas/Incels,,Taxonomy of manosphere masculinities from dominant to involuntarily celibate.,Culture,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,DB,high
Debbie Ging,Manosphere,,Networked online ecosystem of antifeminist male communities.,Culture,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,DB,high
Debbie Ging,Networked Misogyny,,Platform-amplified coordinated hostility toward women online.,Culture,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,DB,high
Debbie Ging,Hybrid Masculinities of Victimhood,,Aggrieved manhood masking male power through tropes of suffering.,Culture,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,Web,high
Debbie Ging,Aggrieved Manhood,,Online masculinity built on grievance and perceived male disempowerment.,Culture,"Digital, Media & Algorithmic Culture",C. Algorithmic & Platform Culture,Contemporary,Web,med
Emily M. Bender,Stochastic Parrots,,Large language models as statistical mimics without true understanding.,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,DB,high
Emily M. Bender,The Octopus Test,,Thought experiment showing form-only training cannot yield meaning.,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,DB,high
Emily M. Bender,LLM Meaning Critique,,Systems trained on form alone cannot access linguistic meaning.,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,DB,high
Emily M. Bender,Form vs. Meaning,,Distinction between language structure and the ideas it represents.,Critics,Digital & Media-Specific,B. Computational & Cultural Analytics,Contemporary,Web,high
